Transporter	Inhibitor	Ki(µM)	IC50(µM)	Substrate used	Cell System	References
MDR1	Dexniguldipine	2.3	NA	Calcein-AM	MDR1-expressing CEM/VLB100 cells	CHEMBL2073875
MDR1	Bromocriptine	3.96	NA	Vinblastine	MDR1-expressing LLC-PK1 cells	CHEMBL2074392
MDR1	Verapamil	3	NA	Taxol	MDR1-expressing Caco-2 cells	CHEMBL2074126
MDR1	Amiodarone	5.78	NA	Calcein-AM	MDR1-expressing LLC-PK1 cells	CHEMBL2074434
MDR1	Vinblastine	140	NA	Digoxin	MDR1-expressing MDCK cells	CHEMBL2074370
MDR1	Troleandomycin	483.3	NA	Calcein-AM	MDR1-expressing LLC-PK1 cells	CHEMBL2074392
MDR1	Daunorubicin	111	NA	Digoxin	MDR1-expressing MDCK cells	CHEMBL2074370
MDR1	Dihydroergotamine	1000	NA	Calcein-AM	MDR1-expressing LLC-PK1 cells	CHEMBL2074392
MDR1	Cyclosporine	0.02	NA	Verapamil	MDR1-expressing Sf9 vesicles	CHEMBL2073848
MDR1	Fluconazole	400	NA	Vinblastine	MDR1-expressing LLC-PK1 cells	CHEMBL2074392
MDR1	Elacridar Hydrochloride	0.44	NA	Digoxin	MDR1-expressing MDCK cells	CHEMBL2074370
MDR1	Dihydroergocryptine	360.5	NA	Calcein-AM	MDR1-expressing LLC-PK1 cells	CHEMBL2074392
MDR1	Cyclosporine	2.18	NA	Digoxin	MDR1-expressing MDCK cells	CHEMBL2074370
MDR1	Ketoconazole	24.9	NA	Calcein-AM	MDR1-expressing LLC-PK1 cells	CHEMBL2074392
MDR1	Etoposide	276	NA	Taxol	MDR1-expressing Caco-2 cells	CHEMBL2074126
MDR1	Quinidine	1.5	NA	Taxol	MDR1-expressing Caco-2 cells	CHEMBL2074126
MDR1	Ergocryptine	6.43	NA	Vinblastine	MDR1-expressing LLC-PK1 cells	CHEMBL2074392
MDR1	Vinblastine	36.5	NA	Taxol	MDR1-expressing Caco-2 cells	CHEMBL2074126
MDR1	Elacridar Hydrochloride	0.04	NA	Digoxin	MDR1-expressing Caco-2 cells	CHEMBL2074265
MDR1	Quinidine	8.59	NA	Digoxin	MDR1-expressing MDCK cells	CHEMBL2074370
MDR1	Trimethoxybenzoylyohimbine	2.1	NA	Verapamil	MDR1-expressing CEM/VLB100 cells	CHEMBL2073918
MDR1	Ergotamine	98.9	NA	Calcein-AM	MDR1-expressing LLC-PK1 cells	CHEMBL2074392
MDR1	Cyclosporine	1.3	NA	Vinblastine	MDR1-expressing LLC-PK1 cells	CHEMBL2074392
MDR1	Erythromycin	1000	NA	Calcein-AM	MDR1-expressing LLC-PK1 cells	CHEMBL2074392
MDR1	Doxorubicin	8.5	NA	Taxol	MDR1-expressing Caco-2 cells	CHEMBL2074126
MDR1	Ergocristine	42.8	NA	Calcein-AM	MDR1-expressing LLC-PK1 cells	CHEMBL2074392
MDR1	Ketoconazole	5.27	NA	Vinblastine	MDR1-expressing LLC-PK1 cells	CHEMBL2074392
MDR1	Vinblastine	2.1	NA	Verapamil	MDR1-expressing CEM/VLB100 cells	CHEMBL2073918
MDR1	Vincristine	213	NA	Digoxin	MDR1-expressing MDCK cells	CHEMBL2074370
MDR1	Clotrimazole	44	NA	Calcein-AM	MDR1-expressing LLC-PK1 cells	CHEMBL2074392
MDR1	Ergocornine	24.5	NA	Vinblastine	MDR1-expressing LLC-PK1 cells	CHEMBL2074392
MDR1	Clotrimazole	29.92	NA	Vinblastine	MDR1-expressing LLC-PK1 cells	CHEMBL2074392
MDR1	Valspodar	1.3	NA	Calcein-AM	CEM/VBL 100	CHEMBL2073875
MDR1	Fluconazole	1000	NA	Calcein-AM	MDR1-expressing LLC-PK1 cells	CHEMBL2074392
MDR1	Reserpine	0.97	NA	Vinblastine	MDR1-expressing LLC-PK1 cells	CHEMBL2074392
MDR1	Ergonovine	100	NA	Vinblastine	MDR1-expressing LLC-PK1 cells	CHEMBL2074392
MDR1	Cyclosporine	4.66	NA	Calcein-AM	MDR1-expressing LLC-PK1 cells	CHEMBL2074392
MDR1	Celiprolol	313	NA	Taxol	MDR1-expressing Caco-2 cells	CHEMBL2074126
MDR1	Daunorubicin	2.5	NA	Taxol	MDR1-expressing Caco-2 cells	CHEMBL2074126
MDR1	Etoposide	768	NA	Digoxin	MDR1-expressing MDCK cells	CHEMBL2074370
MDR1	Troleandomycin	87.64	NA	Vinblastine	MDR1-expressing LLC-PK1 cells	CHEMBL2074392
MDR1	Reserpine	12.2	NA	Calcein-AM	MDR1-expressing LLC-PK1 cells	CHEMBL2074392
MDR1	Cyclosporine	0.35	NA	Digoxin	MDR1-expressing Caco-2 cells	CHEMBL2074265
MDR1	Miconazole	26.36	NA	Vinblastine	MDR1-expressing LLC-PK1 cells	CHEMBL2074392
MDR1	Quinidine	0.43	NA	Digoxin	MDR1-expressing Caco-2 cells	CHEMBL2074265
MDR1	Cyclosporine	1.8	NA	Calcein-AM	MDR1-expressing CEM/VLB100 cells	CHEMBL2073875
MDR1	Ergocornine	105.2	NA	Calcein-AM	MDR1-expressing LLC-PK1 cells	CHEMBL2074392
MDR1	Ergocryptine	12.2	NA	Calcein-AM	MDR1-expressing LLC-PK1 cells	CHEMBL2074392
MDR1	Dihydroergocristine	16	NA	Vinblastine	MDR1-expressing LLC-PK1 cells	CHEMBL2074392
MDR1	Ergocristine	13.33	NA	Vinblastine	MDR1-expressing LLC-PK1 cells	CHEMBL2074392
MDR1	Ergotamine	14.25	NA	Vinblastine	MDR1-expressing LLC-PK1 cells	CHEMBL2074392
MDR1	Dihydroergocryptine	19.82	NA	Vinblastine	MDR1-expressing LLC-PK1 cells	CHEMBL2074392
MDR1	Dihydroergotamine	119.94	NA	Vinblastine	MDR1-expressing LLC-PK1 cells	CHEMBL2074392
MDR1	Erythromycin	37.79	NA	Vinblastine	MDR1-expressing LLC-PK1 cells	CHEMBL2074392
MDR1	Dihydroergocristine	511	NA	Calcein-AM	MDR1-expressing LLC-PK1 cells	CHEMBL2074392
MDR1	Miconazole	55.5	NA	Calcein-AM	MDR1-expressing LLC-PK1 cells	CHEMBL2074392
MDR1	Verapamil	0.88	NA	Digoxin	MDR1-expressing Caco-2 cells	CHEMBL2074265
MDR1	Ergonovine	115.5	NA	Calcein-AM	MDR1-expressing LLC-PK1 cells	CHEMBL2074392
MDR1	Verapamil	15.1	NA	Digoxin	MDR1-expressing MDCK cells	CHEMBL2074370
MDR1	Bromocriptine	2.81	NA	Calcein-AM	MDR1-expressing LLC-PK1 cells	CHEMBL2074392
MDR1	Reserpine	11.5	NA	Digoxin	MDR1-expressing MDCK cells	CHEMBL2074370
MDR1	Vinblastine	15	NA	Digoxin	MDR1-expressing Caco-2 cells	CHEMBL2074265
MDR1	Reserpine	2.31	NA	Digoxin	MDR1-expressing Caco-2 cells	CHEMBL2074265
MDR1	Tariquidar	NA	0.2	Calcein-AM	MDR1 expressing Kb-V1 cells	CHEMBL1777737
MDR1	Elacridar	NA	0.2	Calcein-AM	MDR1 expressing Kb-V1 cells	CHEMBL1777737
MDR1	Cyclosporine A	NA	1.2	Calcein-AM	MDR1 expressing A2780/ADR cells	CHEMBL4130406
MDR1	Csa	NA	0.9	Calcein-AM	MDR1 expressing A2780/ADR cells	CHEMBL3425464
MDR1	Reversan	NA	6.8	Calcein-AM	KBV1 cells	CHEMBL3763047
MDR1	Tariquidar	NA	0.2	Calcein-AM	KBV1 cells	CHEMBL3763047
MDR1	Verapamil	NA	0.5	Calcein-AM	MDR1 expressing MDCK cells	CHEMBL1944510
MDR1	Verapamil	NA	14	Calcein-AM	MDR1 expressing MDCK2 cells 	CHEMBL1138514
MDR1	"Lsn335984, 42"	NA	0.9	Calcein-AM	MDR1 expressing MDCK2 cells 	CHEMBL1138514
MDR1	Cyclosporine A	NA	9.3	Calcein-AM	MDR1 expressing MDCK2 cells 	CHEMBL1153836
MDR1	Verapamil	NA	4.6	Calcein-AM	MDR1 expressing A2780/ADR cells	CHEMBL1144049
MDR1	Cyclosporin A	NA	1.4	Calcein-AM	MDR1 expressing A2780/ADR cells	CHEMBL1144049
MDR1	Cyclosporine A	NA	0.9	Calcein-AM	Doxorubicin-resistant A2780 adr cells	CHEMBL3091323
MDR1	Progesterone	NA	47.9	Calcein-AM	MDR1 expressing A2780/ADR cells	CHEMBL1140531
MDR1	Diltiazem	NA	42.7	Calcein-AM	MDR1 expressing A2780/ADR cells	CHEMBL1140531
MDR1	Vinblastine	NA	10.5	Calcein-AM	MDR1 expressing A2780/ADR cells	CHEMBL1140531
MDR1	Imatinib	NA	7.2	Calcein-AM	MDR1 expressing A2780/ADR cells	CHEMBL1140531
MDR1	Nicardipine	NA	4.8	Calcein-AM	MDR1 expressing A2780/ADR cells	CHEMBL1140531
MDR1	Verampil	NA	4.6	Calcein-AM	MDR1 expressing A2780/ADR cells	CHEMBL1140531
MDR1	Reserpine	NA	3.2	Calcein-AM	MDR1 expressing A2780/ADR cells	CHEMBL1140531
MDR1	Cyclosporine A	NA	1.4	Calcein-AM	MDR1 expressing A2780/ADR cells	CHEMBL1140531
MDR1	Wk-X-50	NA	0.8	Calcein-AM	MDR1 expressing A2780/ADR cells	CHEMBL1140531
MDR1	Colchicine	NA	50	Calcein-AM	MDR1 expressing porcine PBCEC cells	CHEMBL1136781
MDR1	Cimetidine	NA	50	Calcein-AM	MDR1 expressing porcine PBCEC cells	CHEMBL1136781
MDR1	Digoxin	NA	50	Calcein-AM	MDR1 expressing porcine PBCEC cells	CHEMBL1136781
MDR1	Midazolam	NA	50	Calcein-AM	MDR1 expressing porcine PBCEC cells	CHEMBL1136781
MDR1	Etoposide	NA	50	Calcein-AM	MDR1 expressing porcine PBCEC cells	CHEMBL1136781
MDR1	Morphin	NA	50	Calcein-AM	MDR1 expressing porcine PBCEC cells	CHEMBL1136781
MDR1	Hydrocortisone	NA	50	Calcein-AM	MDR1 expressing porcine PBCEC cells	CHEMBL1136781
MDR1	Ranitidine (12)	NA	50	Calcein-AM	MDR1 expressing porcine PBCEC cells	CHEMBL1136781
MDR1	Dexamethasone	NA	50	Calcein-AM	MDR1 expressing porcine PBCEC cells	CHEMBL1136781
MDR1	Dpdpe	NA	50	Calcein-AM	MDR1 expressing porcine PBCEC cells	CHEMBL1136781
MDR1	Erythromycin	NA	43	Calcein-AM	MDR1 expressing porcine PBCEC cells	CHEMBL1136781
MDR1	Quinidine	NA	2.2	Calcein-AM	MDR1 expressing porcine PBCEC cells	CHEMBL1136781
MDR1	Vinblastine	NA	2	Calcein-AM	MDR1 expressing porcine PBCEC cells	CHEMBL1136781
MDR1	Miconazole	NA	2	Calcein-AM	MDR1 expressing porcine PBCEC cells	CHEMBL1136781
MDR1	Saquinavir	NA	1.6	Calcein-AM	MDR1 expressing porcine PBCEC cells	CHEMBL1136781
MDR1	Mibefradil	NA	1.5	Calcein-AM	MDR1 expressing porcine PBCEC cells	CHEMBL1136781
MDR1	Ritonavir	NA	1.5	Calcein-AM	MDR1 expressing porcine PBCEC cells	CHEMBL1136781
MDR1	Clotrimazole	NA	1.3	Calcein-AM	MDR1 expressing porcine PBCEC cells	CHEMBL1136781
