Transporter	Substrate	Km (_M)	Cell System	Reference	Object Therapeutic Class			
BCRP	(_)-Pantoprazole	0.59	MDCK-transfected cells	22355035	Proton pump inhibitors			
BCRP	(+)-Pantoprazole	5.32	MDCK-transfected cells	22355035	Proton pump inhibitors			
BCRP	2_-Hydroxyflavone-O-glucuronide	5.4	HeLa-transfected cells	23402418	Food products			
BCRP	"3,2_-Dihydroxyflavone-O-glucuronide"	35.9	HeLa-transfected cells	23402418	Food products			
BCRP	"3,3_-Dihydroxyflavone-O-glucuronide"	45.2	HeLa-transfected cells	23402418	Food products			
BCRP	"3,4_-Dihydroxyflavone-O-glucuronide"	35.9	HeLa-transfected cells	23402418	Food products			
BCRP	"3,5-Dihydroxyflavone-O-glucuronide"	12.8	HeLa-transfected cells	23402418	Food products			
BCRP	"3,6-Dihydroxyflavone-O-glucuronide"	31.9	HeLa-transfected cells	23402418	Food products			
BCRP	"3,7-Dihydroxyflavone-O-glucuronide"	3.5	HeLa-transfected cells	23402418	Food products			
BCRP	3_-Hydroxyflavone-O-glucuronide	5.6	HeLa-transfected cells	23402418	Food products			
BCRP	3-Hydroxyflavone-O-glucuronide	9.7	HeLa-transfected cells	23402418	Food products			
BCRP	4-Hydroxyflavone-O-glucuronide	17.5	HeLa-transfected cells	23402418	Food products			
BCRP	5-Hydroxyflavone-O-glucuronide	48.5	HeLa-transfected cells	23402418	Food products			
BCRP	6-Hydroxyflavone-O-glucuronide	26.8	HeLa-transfected cells	23402418	Food products			
BCRP	7-Hydroxyflavone-O-glucuronide	9	HeLa-transfected cells	23402418	Food products			
BCRP	Bupropion	3	Membrane vesicles	20599802	Dopamine-norepinephrine reuptake inhibitors			
BCRP	Edaravone sulfate	16.5	Membrane vesicles	17682070	Neuroprotectors			
BCRP	Estradiol-17-_-glucuronide	44.2	Membrane vesicles	12874005	Estrogens			
BCRP	Estrone-3-sulfate	6.8	Caco-2 cells	12920197	Estrogens			
BCRP	Ethinyl estradiol sulfate	2.9	Membrane vesicles	20360303	Estrogens			
BCRP	Gemifloxacin	145.69	MDCK-transfected cells	23020787	Antibiotics			
BCRP	Glyburide (glibenclamide)	13.07	MDCK-transfected cells	20159988	Sulfonylureas			
BCRP	Hematoporphyrin	17.8	Membrane vesicles	16608919	Photosensitizing agents			
BCRP	_SN-38	4	MDCK-transfected cells	11688982	Topoisomerase inhibitors			
BCRP	_SN-38 glucuronide	26	Membrane vesicles	11688982	Topoisomerase inhibitors			
BCRP	Lamivudine	216.5	MDCK-transfected cells	18058507	Nucleoside reverse transcriptase inhibitors			
BCRP	Methotrexate	681	MDCK-transfected cells	17504223	Antimetabolites			
BCRP	Nitrofurantoin	69.4	Caco-2 cells	22004608	Anti-infective agents			
BCRP	Pemetrexed	390	Membrane vesicles	21628496	Antimetabolites			
BCRP	Pitavastatin	5.73	Membrane vesicles	15955871	HMG-CoA reductase inhibitors (statins)			
BCRP	Rosuvastatin	2.02	Caco-2 cells	18617601	HMG-CoA reductase inhibitors (statins)			
BCRP	Sildenafil	22.4	MDCK-transfected cells	22775210	Erectile dysfunction treatments			
BCRP	Sulfasalazine	0.7	Caco-2 cells	18834354	Nonsteroidal anti-inflammatory drugs			
BCRP	Tandutinib	4	Caco-2 cells	20670210	Kinase inhibitors			
BCRP	Topotecan	213.28	Caco-2 cells	18654741	Topoisomerase inhibitors			
BCRP	Vardenafil	14.3	MDCK-transfected cells	22775210	Erectile dysfunction treatments			
