Transporter	Substrate	Km(µM)	Cell System	References
MDR1	Oseltamivir	4200	MDR1-expressing LLC-PK1 cells	CHEMBL1687750
MDR1	Damgo	43	MDR1-expressing SW1573/S1 vesicles	CHEMBL2074060
MDR1	Colchicine	45	MDR1-containing proteoliposomes	CHEMBL2074521
MDR1	Dolastatin-10	0.9	MDR1-containing proteoliposomes	CHEMBL2074001
MDR1	Quetiapine	12.3	MDR1-expressing insect vesicles	CHEMBL2074534
MDR1	Colchicine	1.33	MDR1-expressing CEM/VLB100 vesicles	CHEMBL2074321
MDR1	Verapamil	2	MDR1-containing proteoliposomes	CHEMBL2074001
MDR1	Vinblastine	0.8	MDR1-containing proteoliposomes	CHEMBL2074001
MDR1	Clozapine	58	MDR1-expressing insect vesicles	CHEMBL2074534
MDR1	Grepafloxacin	580	MDR1-expressing Caco-2 cells	CHEMBL2073795
MDR1	Haloperidol	33	MDR1-expressing insect vesicles	CHEMBL2074534
MDR1	Vinblastine	99.4	MDR1-expressing LLC-PK1 cells	CHEMBL2074223
MDR1	Verapamil	2	MDR1-expressing Sf9 vesicles	CHEMBL1145253
MDR1	Paclitaxel	0.7	MDR1-expressing Sf9 vesicles	CHEMBL1145253
MDR1	Valinomycin	1	MDR1-containing proteoliposomes	CHEMBL2074001
MDR1	Hydroxyrubicin	2	MDR1-expressing K562 cells	CHEMBL2074063
MDR1	Vinblastine	252.8	MDR1-expressing MDCK cells	CHEMBL2074370
MDR1	Dactinomycin	10	MDR1-containing proteoliposomes	CHEMBL2074521
MDR1	Estradiol 17B Glucuronide	62	MDR1-expressing Sf9 vesicles	CHEMBL2073751
MDR1	Paclitaxel	16.5	MDR1-expressing Caco-2 cells	CHEMBL2074420
MDR1	Risperidone	12.4	MDR1-expressing insect vesicles	CHEMBL2074534
MDR1	Quinidine	18.2	MDR1-expressing insect vesicles	CHEMBL2074263
MDR1	Progesterone	30	MDR1-containing proteoliposomes	CHEMBL2074001
MDR1	Cyclosporine	3.8	MDR1-expressing Caco-2 cells	CHEMBL2074054
MDR1	Levofloxacin	3000	MDR1-expressing LLC-PK1 cells	CHEMBL2074274
MDR1	Paclitaxel	0.014	MDR1-expressing MCF7 cells	CHEMBL2074331
MDR1	Quinine	10	MDR1-containing proteoliposomes	CHEMBL2074001
MDR1	Vinblastine	18.99	MDR1-expressing Caco-2 cells	CHEMBL2074196
MDR1	Doxorubicin	3	MDR1-containing proteoliposomes	CHEMBL2074521
MDR1	Etoposide	254.96	MDR1-expressing MDCK-II cells	CHEMBL2074524
MDR1	Emetine	6	MDR1-containing proteoliposomes	CHEMBL2074001
MDR1	Cyclosporine	8.4	MDR1-expressing LLC-PK1 cells	CHEMBL2074180
MDR1	Chlorpromazine	27.4	MDR1-expressing insect vesicles	CHEMBL2074534
MDR1	Losartan	232	MDR1-expressing Caco-2 cells	CHEMBL2074286
MDR1	Prazosin	20	MDR1-expressing insect vesicles	CHEMBL2074040
MDR1	Levofloxacin	5600	MDR1-expressing Caco-2 cells	CHEMBL2073795
MDR1	Olanzapine	8.3	MDR1-expressing insect vesicles	CHEMBL2074534
MDR1	Losartan	100	MDR1-containing proteoliposomes	CHEMBL2074001
MDR1	Losartan	403.2	MDR1-expressing MDCK cells	CHEMBL2074286
