Transporter	Inhibitor	KI (µM)	IC50 (µM)	Substrate used	Cell system	References
MRP2	Bilirubin monoglucuronide		0.28	[3H]-Leukotriene C4	MRP2-expressing HepG2 cells	9355767
MRP2	Bilirubin bisglucuronide		0.4	[3H]-Leukotriene C4	MRP2-expressing HepG2 cells	9355767
MRP2	CYCLOSPORIN A	21		[3H]-monoglucuronosyl bilirubin	MRP2-expressing HEK vesicles	10421658
MRP2	Cyclosporine A	4.7		[3H]-Leukotriene C4	MRP2-expressing LLC vesicles	10570049
MRP2	MK-571	13.1		[3H]-Leukotriene C4	MRP2-expressing LLC vesicles	10570049
MRP2	PSC-833 (Valspodar)	28.9		[3H]-Leukotriene C4	MRP2-expressing LLC vesicles	10570049
MRP2	PAK-104P	3.7		[3H]-Leukotriene C4	MRP2-expressing LLC vesicles	10570049
MRP2	Leukotrien C4		3.3	[3H]-para-aminohippurate	MRP2-expressing HEK vesicles	10760098
MRP2	MK-571		4	[3H]-para-aminohippurate	MRP2-expressing HEK vesicles	10760098
MRP2	Ochratoxin A		58	[3H]-para-aminohippurate	MRP2-expressing HEK vesicles	10760098
MRP2	MK-571	26.4		Vinblastine	MRP2-expressing MDCK cells	12134946
MRP2	Vincristine	802		Vinblastine	MRP2-expressing MDCK cells	12134946
MRP2	Cyclosporin A	8.11		Vinblastine	MRP2-expressing MDCK cells	12134946
MRP2	Reserpine	295		Vinblastine	MRP2-expressing MDCK cells	12134946
MRP2	Daunorubicin (Daunomycin)	49.4		Vinblastine	MRP2-expressing MDCK cells	12134946
MRP2	VP-16	756		Vinblastine	MRP2-expressing MDCK cells	12134946
MRP2	Atorvastatin lactone		15	calcein AM	MRP2-expressing MDCK cells	15616150
MRP2	VINBLASTINE		21	calcein AM	MRP2-expressing MDCK cells	15616150
MRP2	Simvastatin lactone		25	calcein AM	MRP2-expressing MDCK cells	15616150
MRP2	Probenecid	42.2		"[3H]-S-(2,4-dinitrophenyl)-glutathione"	Liver canalicular membrane vesicles	15618649
MRP2	MK-571		10	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	18457386
MRP2	Cyclosporine A		13.6	calcein AM	MRP2-expressing MDCK-II cells	18707884
MRP2	MK-571		20.7	calcein AM	MRP2-expressing MDCK-II cells	18707884
MRP2	verapamil		200	calcein AM	MRP2-expressing MDCK-II cells	18707884
MRP2	Indomethacin		235	calcein AM	MRP2-expressing MDCK-II cells	18707884
MRP2	LCT4		0.15	chloromethylfluorescein-diacetate	MRP2-expressing MDCK cells	19170519
MRP2	MK-571		1	chloromethylfluorescein-diacetate	MRP2-expressing MDCK cells	19170519
MRP2	KO-143		50	chloromethylfluorescein-diacetate	MRP2-expressing MDCK cells	19170519
MRP2	KO-143+C15		50	chloromethylfluorescein-diacetate	MRP2-expressing MDCK cells	19170519
MRP2	myricetin		22	calcein AM	MRP2-expressing MDCK-II cells	19725578
MRP2	diosmetin		50	calcein AM	MRP2-expressing MDCK-II cells	19725578
MRP2	chrysoeril		50	calcein AM	MRP2-expressing MDCK-II cells	19725578
MRP2	Etravirine		7.8	calcein AM	MRP2-expressing MDCK-II cells	21189339
MRP2	Isoscutellarin		50	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	22822035
MRP2	Scutellarin		75	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	22822035
MRP2	Dolutegravir		90	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23132334
MRP2	Dolutegravir		100	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23132334
MRP2	Ethacrynic acid		3.85	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Clofazimine		10.4	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Everolimus		11.3	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Cyclosporine A		14.5	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Rifaximin		15.4	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Rifapentine		16.3	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Temsirolimus		17.6	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Daptomycin		29.1	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Suramin		36.8	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Tacrolimus		40.3	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Benzbromarone		41.6	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Wortmannin		46.1	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Rifabutin		49.8	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Rifampicin		53	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Ertapenem sodium		56.2	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Eprosartan		57.9	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Zafirlukast		58.8	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
