Transporter	DDI	Implicated Transporter	Interacting Drug	Affected Drug	AUC	Cmax	CLR	CL/F	t1/2	Effect on PD	Reference							
OAT1		OATs	Nitisinone	Furosemide	1.72	1.12	ND	ND	ND	ND	https://pubmed.ncbi.nlm.nih.gov/30443705/?from_term=OAT1&from_filter=pubt.clinicaltrial&from_sort=date&from_pos=1							
OAT1		OATs	Cefiderocol	Furosemide	1.01	1.00	ND	ND	1.25	ND	https://pubmed.ncbi.nlm.nih.gov/29627897/?from_term=OAT1&from_filter=pubt.clinicaltrial&from_sort=date&from_pos=4							
OAT1		OATs/BCRP	Isavuconazole	Methotrexate	0.97	0.89	ND	ND	ND	ND	https://pubmed.ncbi.nlm.nih.gov/27273004/?from_term=OAT1&from_filter=pubt.clinicaltrial&from_sort=date&from_pos=8							
OAT1		OATs	Probenecid (750 mg)	Adefovir	2.09	ND	0.44	ND	ND	ND	https://pubmed.ncbi.nlm.nih.gov/24747579/?from_term=OAT1&from_filter=pubt.clinicaltrial&from_sort=date&from_page=2&from_pos=3							
OAT1		OATs	Probenecid (1500 mg)	Adefovir	1.82	ND	0.52	ND	ND	ND	https://pubmed.ncbi.nlm.nih.gov/24747579/?from_term=OAT1&from_filter=pubt.clinicaltrial&from_sort=date&from_page=2&from_pos=3							
OAT1		OATs	PAH (120 mg)	Adefovir	1.73	ND	0.49	ND	ND	ND	https://pubmed.ncbi.nlm.nih.gov/24747579/?from_term=OAT1&from_filter=pubt.clinicaltrial&from_sort=date&from_page=2&from_pos=3							
OAT1		OATs	PAH (210 mg)	Adefovir	1.44	ND	0.54	ND	ND	ND	https://pubmed.ncbi.nlm.nih.gov/24747579/?from_term=OAT1&from_filter=pubt.clinicaltrial&from_sort=date&from_page=2&from_pos=3							
OAT1		OATs	Probenecid	Mesna	1.89	1.44	0.44	ND	1.05	ND	https://pubmed.ncbi.nlm.nih.gov/21505084/?from_term=OAT1&from_filter=pubt.clinicaltrial&from_sort=date&from_page=2&from_pos=8							
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
