Transporter	Inhibitor	IC50 (_M)	Ki (_M)	Substrate used	Cell System	Reference	
OAT1	Valsartan	1.97		Bestatin	HEK293-OAT1	https://pubmed.ncbi.nlm.nih.gov/24338900/?from_single_result=Inhibitory+Effect+of+Valsartan+on+the+Intestinal+Absorption+and+Renal+Excretion+of+Bestatin+in+Rats&expanded_search_query=Inhibitory+Effect+of+Valsartan+on+the+Intestinal+Absorption+and+Renal+Excretion+of+Bestatin+in+Rats	
OAT1	Telmisartan	0.44		Bestatin	HEK293-OAT1	https://pubmed.ncbi.nlm.nih.gov/24338900/?from_single_result=Inhibitory+Effect+of+Valsartan+on+the+Intestinal+Absorption+and+Renal+Excretion+of+Bestatin+in+Rats&expanded_search_query=Inhibitory+Effect+of+Valsartan+on+the+Intestinal+Absorption+and+Renal+Excretion+of+Bestatin+in+Rats	
OAT1	Irbesartan	0.039		Bestatin	HEK293-OAT1	https://pubmed.ncbi.nlm.nih.gov/24338900/?from_single_result=Inhibitory+Effect+of+Valsartan+on+the+Intestinal+Absorption+and+Renal+Excretion+of+Bestatin+in+Rats&expanded_search_query=Inhibitory+Effect+of+Valsartan+on+the+Intestinal+Absorption+and+Renal+Excretion+of+Bestatin+in+Rats	
OAT1	Eprosartan	0.13		Bestatin	HEK293-OAT1	https://pubmed.ncbi.nlm.nih.gov/24338900/?from_single_result=Inhibitory+Effect+of+Valsartan+on+the+Intestinal+Absorption+and+Renal+Excretion+of+Bestatin+in+Rats&expanded_search_query=Inhibitory+Effect+of+Valsartan+on+the+Intestinal+Absorption+and+Renal+Excretion+of+Bestatin+in+Rats	
OAT1	Oxaprozin	0.891		6-CF	COS-7-OAT1	https://pubmed.ncbi.nlm.nih.gov/22973893/?from_term=guofeng+you+library&from_sort=date&from_pos=2	
OAT1	Mefenamic acid	1.085		6-CF	COS-7-OAT1	https://pubmed.ncbi.nlm.nih.gov/22973893/?from_term=guofeng+you+library&from_sort=date&from_pos=2	
OAT1	Ketorolac tromethamine	0.653		6-CF	COS-7-OAT1	https://pubmed.ncbi.nlm.nih.gov/22973893/?from_term=guofeng+you+library&from_sort=date&from_pos=2	
OAT1	Dotinurad	4.08		Urate	HEK293-OAT1	https://pubmed.ncbi.nlm.nih.gov/31371478/?from_term=OAT1+inhibitor&from_filter=years.2012-2020&from_sort=date&from_page=2&from_pos=6	
OAT1	Benzbromarone	3.14		Urate	HEK293-OAT1	https://pubmed.ncbi.nlm.nih.gov/31371478/?from_term=OAT1+inhibitor&from_filter=years.2012-2020&from_sort=date&from_page=2&from_pos=6	
OAT1	Lesinurad	6.99		Urate	HEK293-OAT1	https://pubmed.ncbi.nlm.nih.gov/31371478/?from_term=OAT1+inhibitor&from_filter=years.2012-2020&from_sort=date&from_page=2&from_pos=6	
OAT1	Terflunomide	3.39		6-CF	HEK293-OAT1	https://pubmed.ncbi.nlm.nih.gov/31341258/?from_term=OAT1+inhibitor&from_filter=years.2012-2020&from_sort=date&from_page=2&from_pos=7	
OAT1	Selexipag	1.4		PAH	CHO-OAT1	https://pubmed.ncbi.nlm.nih.gov/28737453/?from_term=OAT1+inhibitor&from_filter=years.2012-2020&from_sort=date&from_page=6&from_pos=2	
OAT1	Dantrolene	1.89		PAH	HEK293-OAT1	https://pubmed.ncbi.nlm.nih.gov/28630284/?from_term=OAT1+inhibitor&from_filter=years.2012-2020&from_sort=date&from_page=6&from_pos=5	
OAT1	Nalidixic acid	110.6		PAH	HEK293-OAT1	https://pubmed.ncbi.nlm.nih.gov/28630284/?from_term=OAT1+inhibitor&from_filter=years.2012-2020&from_sort=date&from_page=6&from_pos=5	
OAT1	Prazosin	4.89		PAH	HEK293-OAT1	https://pubmed.ncbi.nlm.nih.gov/28630284/?from_term=OAT1+inhibitor&from_filter=years.2012-2020&from_sort=date&from_page=6&from_pos=5	
