DDI	Implicated Transporter	Interacting Drug	Affected Drug	AUC	Cmax 	CLR	CL/F	t1/2	Effect on PD	Reference	More Details						
1	OATP1B1/OATP1B3 (ABCB1/ABCG2)	Atazanavir/ritonavir	Glecaprevir	6.53	4.51	ND	ND	ND	ND	https://pubmed.ncbi.nlm.nih.gov/30442649/							
2	ABCB1/OATP1B1/OATP1B3 (CYP3A4)	Clarithromycin	Bosentan	3.73	3.82	ND	0.27	ND	ND	https://pubmed.ncbi.nlm.nih.gov/23738582/							
3	OATP's	Clarithromycin	Pravastatin	2.11	2.28	ND	ND	ND	ND	https://pubmed.ncbi.nlm.nih.gov/15518608/							
4	ABCB1/OATP1B1 (CYP3A4)	Cyclosporine	Atorvastatin (acid)	15.3	13.7	ND	ND	ND	NS	https://www.ncbi.nlm.nih.gov/pubmed/16095503							
5	OATP1B1/OATP1B3 (CYP3A4)	Cyclosporine	Fluvastatin	3.55	4.1	ND	0.31	NS	ND	https://pubmed.ncbi.nlm.nih.gov/11907637/							
6	ABCB1/ABCG2/OATP1B1/OATP1B3	Cyclosporine	Glecaprevir	5.08	4.51	ND	ND	ND	ND	https://pubmed.ncbi.nlm.nih.gov/30442649/							
7	ABCC2/OATP1B1	Cyclosporine	Pravastatin	9.93	7.78	ND	ND	0.75	ND	https://pubmed.ncbi.nlm.nih.gov/14749696/							
8	OATP1B1 (CYP3A4)	Cyclosporine	Repaglinide	2.44	1.72	NS	ND	NS	NS	https://pubmed.ncbi.nlm.nih.gov/16198658/							
9	ABCB1/ABCG2/OATP1B1/OATP1B3	Cyclosporine	Voxilaprevir	9.73	14.29	ND	ND	ND	ND	https://pubmed.ncbi.nlm.nih.gov/30442649/							
10	ABCG2/OATP1B1/OATP1B3	Darolutamide	Rosuvastatin	~5	~5	NS	ND	NS	ND	https://pubmed.ncbi.nlm.nih.gov/31571146/							
11	ABCG2/OATP1B1	Eltrombopag	Rosuvastatin	1.55	2.03	ND	ND	ND	ND	https://pubmed.ncbi.nlm.nih.gov/21434975/							
12	OATP1B1	Gemfibrozil	Atorvastatin (acid)	1.24	1.17	ND	ND	0.84	ND	https://pubmed.ncbi.nlm.nih.gov/16084850/							
13	OATP1B1	Gemfibrozil	Atorvastatin (acid)	1.35	NS	ND	ND	0.74	ND	https://pubmed.ncbi.nlm.nih.gov/20413454/							
14	OATP1B1	Gemfibrozil	Lovastatin (acid)	2.79	2.81	ND	ND	ND	ND	https://pubmed.ncbi.nlm.nih.gov/11372002/							
15	OATP1B1	Gemfibrozil	Pravastatin	2.02	NS	0.57	ND	NS	ND	https://pubmed.ncbi.nlm.nih.gov/12811363/							
16	OATP1B1 (CYP2C8)	Gemfibrozil	Repaglinide	8.22	2.6	ND	ND	2.27	Yes	https://pubmed.ncbi.nlm.nih.gov/19238654/							
17	OATP1B1	Gemfibrozil	Rosuvastatin	1.88	2.21	ND	ND	NS	ND	https://pubmed.ncbi.nlm.nih.gov/15116058/							
18	OATP1B1	Gemfibrozil	Simvastatin (acid)	2.91	2.12	ND	ND	1.51	ND	https://pubmed.ncbi.nlm.nih.gov/10976543/							
19	OATP1B1/OATP1B3 (CYP3A)	Glecaprevir/pibrentasvir	Atorvastatin	8.28	22	ND	ND	ND	ND	https://pubmed.ncbi.nlm.nih.gov/30442649/							
20	OATP1B1	Irbesartan	Repaglinide	1.33	1.84	ND	ND	NS	Yes	https://pubmed.ncbi.nlm.nih.gov/29748863/							
21	OATP1B1	Rifampicin 	Atorvastatin (acid)	7.25	10.5	ND	0.13	0.37	ND	https://pubmed.ncbi.nlm.nih.gov/17192770/							
22	OATP1B1/OATP1B3	Rifampicin 	Glecaprevir	8.55	6.52	ND	ND	ND	ND	https://pubmed.ncbi.nlm.nih.gov/30442649/							
23	OATP1B1	Rifampicin 	Pitavastatin	5.28	7.65	ND	0.15	0.51	ND	https://pubmed.ncbi.nlm.nih.gov/23831870/							
24	OATP1B1	Rifampicin 	Pitavastatin	5.41	4.77	ND	ND	NS	ND	https://pubmed.ncbi.nlm.nih.gov/24617605/							
25	OATP1B1	Rifampicin 	Pravastatin	2.27	2.73	ND	0.5	NS	ND	https://pubmed.ncbi.nlm.nih.gov/19695392/							
26	ABCG2/OATP1B1	Rifampicin 	Rosuvastatin	4.09	9.39	ND	ND	NS	ND	https://pubmed.ncbi.nlm.nih.gov/24617605/							
27	OATP1B1/OATP1B3	Rifampicin 	Voxilaprevir	7.96	8.74	ND	ND	ND	ND	https://pubmed.ncbi.nlm.nih.gov/30442649/							
28	ABCB1/OATP1B1/OATP1B3 (CYP3A)	Simeprevir	Atorvastatin	2.12	1.7	ND	ND	ND	ND	https://www.accessdata.fda.gov/drugsatfda_docs/nda/2015/205123Orig1s008.pdf							
29	OATP1B1/OATP1B3	Simeprevir	Rosuvastatin	2.81	3.17	ND	ND	ND	ND	https://www.accessdata.fda.gov/drugsatfda_docs/nda/2015/205123Orig1s008.pdf							
30	ABCG2/OATP1B1/OATP1B3	Voxilaprevir	Rosuvastatin	7.35	17.96	ND	ND	ND	ND	https://pubmed.ncbi.nlm.nih.gov/30442649/							
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
