Transporter	Inhibitor	Ki (_M)	IC50 (_M)	Substrate used	Cell System	Reference (PMID or website)
OATP1B1	4-Aminosalicylic acid		72.6	Estrone 3-sulfate	HEK-OATP1B1	https://pubmed.ncbi.nlm.nih.gov/26976869/
OATP1B1	Amlodipine		35.5	Cerivastatin	HEK-OATP1B1	https://pubmed.ncbi.nlm.nih.gov/23652407/
OATP1B1	Amlodipine		39.6	Estrone 3-sulfate	HEK-OATP1B1	https://pubmed.ncbi.nlm.nih.gov/23652407/
OATP1B1	Amoxicillin		36.2	Estrone 3-sulfate	HEK-OATP1B1	https://pubmed.ncbi.nlm.nih.gov/26976869/
OATP1B1	Amprenavir	9.52	16.8	Atorvastatin	HEK-OATP1B1	https://pubmed.ncbi.nlm.nih.gov/21861202/
OATP1B1	Atazanavir	0.91	1.61	Atorvastatin	HEK-OATP1B1	https://pubmed.ncbi.nlm.nih.gov/21861202/
OATP1B1	Atazanavir	1.3	1.4	Estradiol-17beta-glucuronide	HEK-OATP1B1	https://pubmed.ncbi.nlm.nih.gov/22541068/
OATP1B1	Atorvastatin (acid)		0.87	Estradiol-17beta-glucuronide	HEK-OATP1B1	https://pubmed.ncbi.nlm.nih.gov/15616150/
OATP1B1	Atorvastatin (lactone)		2.6	Estradiol-17beta-glucuronide	HEK-OATP1B1	https://pubmed.ncbi.nlm.nih.gov/15616150
OATP1B1	Azithromycin		>250 	Bromsulphthalein (BSP)	HEK-OATP1B1	https://pubmed.ncbi.nlm.nih.gov/17296622/
OATP1B1	Beclomethasone		6.7	Fluorescein-Methotrexate	CHO-OATP1B1	https://www.ncbi.nlm.nih.gov/pubmed/20448812
OATP1B1	Bromocryptine		0.7	Fluorescein-Methotrexate	CHO-OATP1B1	https://www.ncbi.nlm.nih.gov/pubmed/20448812
OATP1B1	Ceftriaxone		470	Lithocholyl-(Ne-NBD)-lysine	HEK-OATP1B1	https://pubmed.ncbi.nlm.nih.gov/21372390/
OATP1B1	Cerivastatin		1.7	Estradiol-17beta-glucuronide	HEK-OATP1B1	https://www.ncbi.nlm.nih.gov/pubmed/17901929
OATP1B1	Clarithromycin		96	Bromsulphthalein (BSP)	HEK-OATP1B1	https://pubmed.ncbi.nlm.nih.gov/17296622/
OATP1B1	Clarithromycin		5.3	Estradiol-17beta-glucuronide	HEK-OATP1B1	https://pubmed.ncbi.nlm.nih.gov/26668209/
