Transporter	Substrate	Km(uM)	Cell System	Reference	
OATP1B3	Fluvastatin 	7	MDCKII-ABCC2-OATP1B3	https://pubmed.ncbi.nlm.nih.gov/16046661/	16046661
OATP1B3	Bromosulfophthalein	2.2	MDCKII-ABCC2-OATP1B3	https://pubmed.ncbi.nlm.nih.gov/16046661/	16046661
OATP1B3	Olmesartan 	71.8	oocytes-OATP1B3	https://pubmed.ncbi.nlm.nih.gov/16501004/	16501004
OATP1B3	Olmesartan 	44.2	HEK293-OATP1B3	https://pubmed.ncbi.nlm.nih.gov/17823233/	17823233
OATP1B3	Valsartan 	18.2	HEK293-OATP1B3	https://pubmed.ncbi.nlm.nih.gov/16624871/	1662481
OATP1B3	Methotrexate	24.7	oocytes-OATP1B3	https://pubmed.ncbi.nlm.nih.gov/11375950/	11375950
OATP1B3	Paclitaxel	6.8	oocytes-OATP1B3	https://pubmed.ncbi.nlm.nih.gov/16210916/	16210916
OATP1B3	Cefadroxil 	4.15	oocytes-OATP1B3	https://pubmed.ncbi.nlm.nih.gov/18974612/	18974612
OATP1B3	Cefazolin 	3.89	oocytes-OATP1B3	https://pubmed.ncbi.nlm.nih.gov/18974612/	18974612
OATP1B3	Cefditoren 	5.87	oocytes-OATP1B3	https://pubmed.ncbi.nlm.nih.gov/18974612/	18974612
OATP1B3	Cefmetazole 	0.71	oocytes-OATP1B3	https://pubmed.ncbi.nlm.nih.gov/18974612/	18974612
OATP1B3	Cefoperazone 	1.95	oocytes-OATP1B3	https://pubmed.ncbi.nlm.nih.gov/18974612/	18974612
OATP1B3	Cephalexin 	1.19	oocytes-OATP1B3	https://pubmed.ncbi.nlm.nih.gov/18974612/	18974612
OATP1B3	Nafcillin 	0.07	oocytes-OATP1B3	https://pubmed.ncbi.nlm.nih.gov/18974612/	18974612
OATP1B3	Bosentan 	141	CHO-OATP1B3	https://pubmed.ncbi.nlm.nih.gov/17496208/	17496208
OATP1B3	Fexofenadine 	108	HEK293-OATP1B3	https://pubmed.ncbi.nlm.nih.gov/16014768/	16014768
OATP1B3	atorvastatin 	0.73	HEK293-OATP1B3	https://pubmed.ncbi.nlm.nih.gov/22541068/	22541068
OATP1B3	Telmisartan 	0.8	HEK293-OATP1B3	https://pubmed.ncbi.nlm.nih.gov/16611857/	16611857
OATP1B3	Pitavastatin	3.25	HEK293-OATP1B3	https://pubmed.ncbi.nlm.nih.gov/15159445/	15159445
OATP1B3	Rifampicin	2.3	oocytes-OATP1B3	https://pubmed.ncbi.nlm.nih.gov/12085361/	12085361
OATP1B3	Rosuvastatin	9.8	Hela-OATP1B3	https://pubmed.ncbi.nlm.nih.gov/16697742/	16697742
OATP1B3	glibenclamide	15.36	HEK-OATP1B3	https://pubmed.ncbi.nlm.nih.gov/29498478/	29498478
OATP1B3	glipizide	41.29	HEK293-OATP1B3	https://pubmed.ncbi.nlm.nih.gov/29498478/	29498478
OATP1B3	docetaxel	2.2	CHO-OATP1B3	https://pubmed.ncbi.nlm.nih.gov/22711709/	22711709
OATP1B3	mesalazine	77.4	HEK293-OATP1B3	https://pubmed.ncbi.nlm.nih.gov/21430235/	21430235
OATP1B3	Gadoxetic Acid	0.532	HEK293-OATP1B3	https://pubmed.ncbi.nlm.nih.gov/22771883/	22771883
OATP1B3	amanitin 	3.7	MDCK--OATP1B3	https://pubmed.ncbi.nlm.nih.gov/30706983/	30706983
OATP1B3	dioscin	2.08	HEK293-OATP1B3	https://pubmed.ncbi.nlm.nih.gov/30706983/	30706983
OATP1B3	irbesartan	11.9	HEK293-OATP1B3	https://pubmed.ncbi.nlm.nih.gov/30706983/	30706983
OATP1B3	nilotinib 	7.84	HEK293-OATP1B3	https://pubmed.ncbi.nlm.nih.gov/30706983/	30706983
OATP1B3	vandetanib 	4.37	CHO-OATP1B3	https://pubmed.ncbi.nlm.nih.gov/30706983/	30706983
