Transporter	Inhibitor	IC50 (_M)	Ki (_M)	Substrate used	Cell System	Reference
SLCO2B1	BSP	6		Estrone 3-sulfate	MDCK II-OATP2B1	https://www.ncbi.nlm.nih.gov/pubmed/?term=20507927
SLCO2B1	Rifamycin SV	2.7		Estrone 3-sulfate	MDCK II-OATP2B1	https://www.ncbi.nlm.nih.gov/pubmed/?term=20507927
SLCO2B1	Lopinavir	0.72		Estrone 3-sulfate	MDCK II-OATP2B1	https://www.ncbi.nlm.nih.gov/pubmed/?term=20507927
SLCO2B1	Tipranavir	0.88		Estrone 3-sulfate	MDCK II-OATP2B1	https://www.ncbi.nlm.nih.gov/pubmed/?term=20507927
SLCO2B1	Nelfinavir	0.9		Estrone 3-sulfate	MDCK II-OATP2B1	https://www.ncbi.nlm.nih.gov/pubmed/?term=20507927
SLCO2B1	Ritonavir	2.2		Estrone 3-sulfate	MDCK II-OATP2B1	https://www.ncbi.nlm.nih.gov/pubmed/?term=20507927
SLCO2B1	Atazanavir	3.6		Estrone 3-sulfate	MDCK II-OATP2B1	https://www.ncbi.nlm.nih.gov/pubmed/?term=20507927
SLCO2B1	Saquinavir	4.6		Estrone 3-sulfate	MDCK II-OATP2B1	https://www.ncbi.nlm.nih.gov/pubmed/?term=20507927
SLCO2B1	Darunavir	26		Estrone 3-sulfate	MDCK II-OATP2B1	https://www.ncbi.nlm.nih.gov/pubmed/?term=20507927
SLCO2B1	Efavirenz	9.6		Estrone 3-sulfate	MDCK II-OATP2B1	https://www.ncbi.nlm.nih.gov/pubmed/?term=20507927
SLCO2B1	Naringin	4.63		Estrone 3-sulfate	OATP2B1-expressing oocytes	https://www.ncbi.nlm.nih.gov/pubmed/?term=23794501
SLCO2B1	Naringenin	49.2		Estrone 3-sulfate	OATP2B1-expressing oocytes	https://www.ncbi.nlm.nih.gov/pubmed/?term=23794501
SLCO2B1	Hesperidine	1.92		Estrone 3-sulfate	OATP2B1-expressing oocytes	https://www.ncbi.nlm.nih.gov/pubmed/?term=23794501
SLCO2B1	Hesperetin	67.6		Estrone 3-sulfate	OATP2B1-expressing oocytes	https://www.ncbi.nlm.nih.gov/pubmed/?term=23794501
SLCO2B1	Phloridzin	23.2		Estrone 3-sulfate	OATP2B1-expressing oocytes	https://www.ncbi.nlm.nih.gov/pubmed/?term=23794501
SLCO2B1	Phloretin	1.31		Estrone 3-sulfate	OATP2B1-expressing oocytes	https://www.ncbi.nlm.nih.gov/pubmed/?term=23794501
SLCO2B1	Quercetin	9.47		Estrone 3-sulfate	OATP2B1-expressing oocytes	https://www.ncbi.nlm.nih.gov/pubmed/?term=23794501
SLCO2B1	Kaempferol	21.3		Estrone 3-sulfate	OATP2B1-expressing oocytes	https://www.ncbi.nlm.nih.gov/pubmed/?term=23794501
SLCO2B1	Raltitrexed		70 µM	Permetrexed	OATP2B1-expressing HeLa R1-11	https://www.ncbi.nlm.nih.gov/pubmed/?term=22021325
SLCO2B1	Meloxicam	1.59		Estrone 3-sulfate	CHO-OATP2B1	https://www.ncbi.nlm.nih.gov/pubmed/?term=28562037
SLCO2B1	Bicalutamide	12.9		Estrone 3-sulfate	CHO-OATP2B1	https://www.ncbi.nlm.nih.gov/pubmed/?term=28562037
SLCO2B1	Ticagrelor	2.12		Estrone 3-sulfate	CHO-OATP2B1	https://www.ncbi.nlm.nih.gov/pubmed/?term=28562037
SLCO2B1	Ronacaleret	12		Rosuvastatin	HEK293-OATP2B1	https://www-ncbi-nlm-nih-gov.ucsf.idm.oclc.org/pubmed/?term=27737931
SLCO2B1	tropesin	0.03		Dibromofluorescein	HEK293-OATP2B1	https://www-ncbi-nlm-nih-gov.ucsf.idm.oclc.org/pubmed/31834804
SLCO2B1	erlotinib	0.07		Dibromofluorescein	HEK293-OATP2B1	https://www-ncbi-nlm-nih-gov.ucsf.idm.oclc.org/pubmed/31834804
SLCO2B1	atorvastatin	0.09		Dibromofluorescein	HEK293-OATP2B1	https://www-ncbi-nlm-nih-gov.ucsf.idm.oclc.org/pubmed/31834804
SLCO2B1	acemetacin	0.1		Dibromofluorescein	HEK293-OATP2B1	https://www-ncbi-nlm-nih-gov.ucsf.idm.oclc.org/pubmed/31834804
SLCO2B1	benzbromarone	0.1		Dibromofluorescein	HEK293-OATP2B1	https://www-ncbi-nlm-nih-gov.ucsf.idm.oclc.org/pubmed/31834804
SLCO2B1	fluvastatin	0.1		Dibromofluorescein	HEK293-OATP2B1	https://www-ncbi-nlm-nih-gov.ucsf.idm.oclc.org/pubmed/31834804
SLCO2B1	tipranavir	0.2		Dibromofluorescein	HEK293-OATP2B1	https://www-ncbi-nlm-nih-gov.ucsf.idm.oclc.org/pubmed/31834804
SLCO2B1	montelukast	0.38		Dibromofluorescein	HEK293-OATP2B1	https://www-ncbi-nlm-nih-gov.ucsf.idm.oclc.org/pubmed/31834804
SLCO2B1	ethinyl estradiol	1.3		Dibromofluorescein	HEK293-OATP2B1	https://www-ncbi-nlm-nih-gov.ucsf.idm.oclc.org/pubmed/31834804
SLCO2B1	irbesartan	1.3		Dibromofluorescein	HEK293-OATP2B1	https://www-ncbi-nlm-nih-gov.ucsf.idm.oclc.org/pubmed/31834804
SLCO2B1	zafirlukast	1.4		Dibromofluorescein	HEK293-OATP2B1	https://www-ncbi-nlm-nih-gov.ucsf.idm.oclc.org/pubmed/31834804
SLCO2B1	diethylstilbestrol	1.6		Dibromofluorescein	HEK293-OATP2B1	https://www-ncbi-nlm-nih-gov.ucsf.idm.oclc.org/pubmed/31834804
SLCO2B1	glimepiride	1.6		Dibromofluorescein	HEK293-OATP2B1	https://www-ncbi-nlm-nih-gov.ucsf.idm.oclc.org/pubmed/31834804
