Transporter	DDI	Implicated Transporter	Interacting Drug	Affected Drug	AUC	Cmax	CLR	CL/F	t1/2	Effect on PD	Reference							
OCT1	1	OCTs/MATEs	Verapamil	Metformin	1.07	1.09	0.98	NR	0.80	Yes	https://www.ncbi.nlm.nih.gov/pubmed/25060604?dopt=Abstract							
OCT1	2	OCTs/MATEs	Cefiderocol	Metformin	1.05	1.09	ND	NR	0.88	ND	https://www.ncbi.nlm.nih.gov/pubmed/29627897							
OCT1	3	OCTs/MATEs	Isavuconazole	Metformin	1.52	1.22	ND	0.66	1.14	ND	https://www.ncbi.nlm.nih.gov/pubmed/27273004							
OCT1	4	OCTs	Rifampin	Metformin	1.13	1.10	1.16	NR	0.92	Yes	https://www.ncbi.nlm.nih.gov/pubmed/21270793							
OCT1	5	OCTs/MATEs	Ranitidine	Trospium (IV)	1.06	1.10	0.87	NR	1.00	No	https://www.ncbi.nlm.nih.gov/pubmed/31542894							
OCT1	5	OCTs/MATEs	Ranitidine	Trospium (oral)	0.87	0.92	0.99	NR	0.98	No	https://www.ncbi.nlm.nih.gov/pubmed/31542894							
OCT1	6	OCT1	St John's wort	Metformin	1.03	1.04	0.97	1.01	0.89	Yes	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4309635/							
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
