Transporter	Inhibitor	IC50 (_M)	Ki (_M)	Substrate used	Cell System	Reference	
OCT1	Abacavir	0.00007		MPP+	CHO-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/19141712	
OCT1	Acetylcholine	580		MPP+	OCT1-expressing oocytes	https://www.ncbi.nlm.nih.gov/pubmed/15817714?dopt=Abstract	
OCT1	Afatinib	80		MPP+	HEK293-OCT1	http://dmd.aspetjournals.org/content/42/11/1851?ijkey=bc919eedbb7d1499cd535bd2307d48679b31a3f3&keytype2=tf_ipsecsha	
OCT1	Alfuzosin	14.87		ASP+	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/28230985	
OCT1	Amantadine	18.4		Tetraethylammonium	HeLa-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/12606755	
OCT1	Amascrine	5		ASP+	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/18788725?dopt=Abstract	
OCT1	Amiloride	57		ASP+	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/18788725?dopt=Abstract	
OCT1	Amitriptyline	58.1		Rhodamine 123	HEK293-OCT1	https://onlinelibrary.wiley.com/doi/full/10.1111/j.1472-8206.2012.01071.x	
OCT1	Amitriptyline	1.89		Morphine	HEK293-OCT1	https://link.springer.com/article/10.1007/s11095-018-2526-y	
OCT1	Amitriptyline	3.47		Sumatriptan	HEK293-OCT1	https://ascpt.onlinelibrary.wiley.com/doi/full/10.1002/cpt.317	
OCT1	Amitriptyline	4.4		Morphine	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/23835420?dopt=Abstract	
OCT1	Amitriptyline	16.9		ASP+	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/18788725?dopt=Abstract	
OCT1	Amphetamine	97		Metformin	HEK293-OCT1	http://dmd.aspetjournals.org/content/45/7/770?ijkey=834f69d4c3f65c792f27231aedc43a6b87d57189&keytype2=tf_ipsecsha#T1	
OCT1	Artemisinin	4.2		MPP+	MDCK-OCT1	http://dmd.aspetjournals.org/content/44/10/1562?ijkey=39928755d05a02a575ad05e7d6fe588e4698868a&keytype2=tf_ipsecsha	
OCT1	Atropine	1.2		MPP+	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/16263091?dopt=Abstract	
OCT1	Atropine	3		MPP+	HEK293-OCT1	https://www.degruyter.com/view/journals/bchm/398/2/article-p237.xml	
OCT1	Atropine	12.2		ASP+	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/18788725?dopt=Abstract	
OCT1	Azidothymidine	0.0002		MPP+	CHO-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/19141712	
OCT1	Bithionol	2.23		ASP+	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/28230985	
OCT1	Bosutinib	2.06		MPP+	HEK293-OCT1	http://dmd.aspetjournals.org/content/42/11/1851?ijkey=bc919eedbb7d1499cd535bd2307d48679b31a3f3&keytype2=tf_ipsecsha	
OCT1	Bucindolol	27		ASP+	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/18788725?dopt=Abstract	
OCT1	Bucindolol	15.1		ASP+	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/20567254?dopt=Abstract	
OCT1	Butylscopolamine	16		MPP+	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/16263091?dopt=Abstract	
OCT1	Butylscopolamine	28		MPP+	HEK293-OCT1	https://www.degruyter.com/view/journals/bchm/398/2/article-p237.xml	
OCT1	Camylofine	9.12		ASP+	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/28230985	
OCT1	Carbetapentane	1.55		ASP+	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/28230985	
OCT1	Carvediolol	3.43		ASP+	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/28230985	
OCT1	Carvediolol	1.4		MPP+	MDCK-OCT1	https://ajp.amjpathol.org/article/S0002-9440(11)00227-6/pdf	
OCT1	Cediranib	54		MPP+	HEK293-OCT1	http://dmd.aspetjournals.org/content/42/11/1851?ijkey=bc919eedbb7d1499cd535bd2307d48679b31a3f3&keytype2=tf_ipsecsha	
OCT1	Chloroquine	12.8		MPP+	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/27504015	
OCT1	Chlorpromazine	4.3		Tetraethylammonium	HeLa-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/12606755	
OCT1	Chlorpromazine	27		ASP+	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/18788725?dopt=Abstract	
OCT1	Chlorpromazine	52.3		ASP+	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/20567254?dopt=Abstract	
OCT1	Cimetidine	275		Metformin	Caco-OCT1	https://bpspubs.onlinelibrary.wiley.com/doi/full/10.1002/prp2.357	
OCT1	Cimetidine	2830		Ethidium	CHO-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/19357179?dopt=Abstract	
OCT1	Cimetidine	>100		ASP+	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/21599003?dopt=Abstract	
OCT1	Citalopram	18.8		ASP+	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/18788725?dopt=Abstract	
