Transporter	Substrate	Km(uM)	Cell System	Reference
OCT1	Amisulpride	31	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/25155823?dopt=Abstract
OCT1	ASP+	21.1	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/28230985
OCT1	ASP+	2.32	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/18788725?dopt=Abstract
OCT1	Atropine	5.9	HEK293-OCT1	https://www.degruyter.com/view/journals/bchm/398/2/article-p237.xml
OCT1	Berberine	14.8	MDCK-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/18157518?dopt=Abstract
OCT1	Butylscopolamine	23	HEK293-OCT1	https://www.degruyter.com/view/journals/bchm/398/2/article-p237.xml
OCT1	Cycloguanil	18.3	HEK293-OCT1	https://ascpt.onlinelibrary.wiley.com/doi/full/10.1002/cpt.1128
OCT1	DAPI	8.94	MDCKII-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/21437911?dopt=Abstract
OCT1	Ethambutol	526	HEK293-OCT1	https://aac.asm.org/content/aac/62/9/e00512-18.full.pdf
OCT1	Ethidium	0.8	CHO-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/19357179?dopt=Abstract
OCT1	Fenoterol	1.78	HEK293-OCT1	https://ascpt.onlinelibrary.wiley.com/doi/full/10.1002/cpt.812
OCT1	Impratropium	14	HEK293-OCT1	https://www.degruyter.com/view/journals/bchm/398/2/article-p237.xml
OCT1	Impratropium	9	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/23984907?dopt=Abstract
OCT1	Ipratropium	9	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/23984907?dopt=Abstract
OCT1	Lamivudine	1250	CHO-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/19141712
OCT1	Lamivudine	249	HEK293-OCT1	http://dmd.aspetjournals.org/content/36/8/1616?ijkey=02efd0185bdf2fa1acfbe10024b9b11b287b090f&keytype2=tf_ipsecsha
OCT1	Metformin	5422	Caco-OCT1	https://bpspubs.onlinelibrary.wiley.com/doi/full/10.1002/prp2.357
OCT1	Metformin	2160	CHO-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/19591196?dopt=Abstract
OCT1	Metformin	1470	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/16272756?dopt=Abstract
OCT1	Monocrotaline	25	MDCK-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/23831208?dopt=Abstract
OCT1	Morphine	3.4	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/23835420?dopt=Abstract
OCT1	MPP+	35	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4014663/
OCT1	MPP+	14.6	OCT1-expressing oocytes	http://molpharm.aspetjournals.org/content/51/6/913?ijkey=b97855502659d43fb038c7a2861a5acc8363e1de&keytype2=tf_ipsecsha
OCT1	MPP+	6.38	MDCK-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/23831208?dopt=Abstract
OCT1	O_desmethyltramadol	149	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/21562485
OCT1	Oxibutynin	8.8	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/21212936?dopt=Abstract
OCT1	Proguanil	17.7	HEK293-OCT1	https://ascpt.onlinelibrary.wiley.com/doi/full/10.1002/cpt.1128
OCT1	Proguanil	8.1	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/29061131
OCT1	Prothionamide	806	HEK293-OCT1	https://aac.asm.org/content/aac/62/9/e00512-18.full.pdf
OCT1	Ranitidine	62.9	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5728534/
OCT1	Rhodamine 123	0.54	HEK293-OCT1	https://onlinelibrary.wiley.com/doi/full/10.1111/j.1472-8206.2012.01071.x
OCT1	Serotonin	197	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4014663/
OCT1	Sulpiride	259.7	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/25155823?dopt=Abstract
OCT1	Sulpiride	2.6	HEK293-OCT1	https://www.sciencedirect.com/science/article/pii/S0022354917303593
OCT1	Sumatriptan	55.4	HEK293-OCT1	https://ascpt.onlinelibrary.wiley.com/doi/full/10.1002/cpt.317
OCT1	Tetraethylammonium	140	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/23984907?dopt=Abstract
OCT1	Thiamine	780	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/24961373?dopt=Abstract
OCT1	Trospium	15	HEK293-OCT1	https://www.degruyter.com/view/journals/bchm/398/2/article-p237.xml
OCT1	Trospium	17	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/21212936?dopt=Abstract
OCT1	Trospium	106	HEK293-OCT1	https://pubs.acs.org/doi/abs/10.1021/mp500532x
OCT1	Zalcitabine	242	HEK293-OCT1	http://dmd.aspetjournals.org/content/36/8/1616?ijkey=02efd0185bdf2fa1acfbe10024b9b11b287b090f&keytype2=tf_ipsecsha
