Transporter	Inhibitor	IC50 (_M)	Ki (_M)	Substrate used	Cell System	Reference		
 OCT2	Fampridine	66.8		Metformin	HEK293-OCT2	"Xiao, 2018 PMID: 29915999"	https://pubmed.ncbi.nlm.nih.gov/29915999/	
	Pazopanib	3.5		ASP+	HEK293-OCT2	"Sauzay, 2016 PMID: 27178732"	https://www.ncbi.nlm.nih.gov/pubmed/27178732	
	Vandetanib	73.4		MPP+	HEK293-OCT2	"Shen, 2013 PMID: 24026623"	https://www.ncbi.nlm.nih.gov/pubmed/24026623	
	Vandetanib	8.8		Metformin	HEK293-OCT2	"Shen, 2013 PMID: 24026623"		
	Pyrimethamine 	23.6		MPP+	HEK293-OCT2	"Shen, 2013 PMID: 24026623"		
	Pyrimethamine 	4.8		Metformin	HEK293-OCT2	"Shen, 2013 PMID: 24026623"		
	Amitriptyline	0.51		Metformin	HEK293-OCT2	"Hacker, 2015 PMID: 26327616"	https://www.ncbi.nlm.nih.gov/pubmed/26327616	
	Doxepin	0.25		Metformin	HEK293-OCT2	"Hacker, 2015 PMID: 26327616"		
	Lansoprazole	3.28		Metformin	HEK293-OCT2	"Hacker, 2015 PMID: 26327616"		
	Pantoprazole	0.56		Metformin	HEK293-OCT2	"Hacker, 2015 PMID: 26327616"		
	Sitagliptin	7.41		Metformin	HEK293-OCT2	"Hacker, 2015 PMID: 26327616"		
	Spironolactone	1.29		Metformin	HEK293-OCT2	"Hacker, 2015 PMID: 26327616"		 
	Trimipramine	0.44		Metformin	HEK293-OCT2	"Hacker, 2015 PMID: 26327616"		
	Trospium chloride	0.07		Metformin	HEK293-OCT2	"Hacker, 2015 PMID: 26327616"		
	Zolpidem	0.15		Metformin	HEK293-OCT2	"Hacker, 2015 PMID: 26327616"		
	Omeprazole	6.7		Metformin	HEK293-OCT2	"Nies, 2011 PMID: 21779389"	https://pubmed.ncbi.nlm.nih.gov/21779389/	
	Pantoprazole	2.8		Metformin	HEK293-OCT2	"Nies, 2011 PMID: 21779389"		
	Lansoprazole	9.5		Metformin	HEK293-OCT2	"Nies, 2011 PMID: 21779389"		
	Rabeprazole	5.7		Metformin	HEK293-OCT2	"Nies, 2011 PMID: 21779389"		
	Tenatoprazole	20.3		Metformin	HEK293-OCT2	"Nies, 2011 PMID: 21779389"		
	Imatinib	6.7		Creatinine	HEK293-OCT2	"Tanihara, 2009 PMID: 19540211"	https://www.ncbi.nlm.nih.gov/pubmed/19540211	
	Dolutegravir	1.9		Metformin	MDCKII_OCT2	"Reese, 2013 PMID: 23132334"	https://www.ncbi.nlm.nih.gov/pubmed/23132334	
	Anisodine	139.6		MPP+	HEK293-OCT2	"Chen, 2019 PMID: 31514980"	https://www.ncbi.nlm.nih.gov/pubmed/31514980	
	Monocrotaline	1852.6		MPP+	HEK293-OCT2	"Chen, 2019 PMID: 31514980"		
	Doravirine	67		Metformin	CHO-K1-OCT2	"Bleasby, 2019 PMID: 30745395"	https://www.ncbi.nlm.nih.gov/pubmed/30745395	
