Transporter	Substrate	Km (_M)	Cell System	Reference					
 OCT2	Hydrochlorothiazide	812	HEK293-OCT2	"Yin, 2019 PMID: 31322418"	https://pubmed.ncbi.nlm.nih.gov/31322418/				
	Atenonol	280	HEK293-OCT2	"Yin, 2015 PMID: 26374172"					
	Fampridine	51	HEK293-OCT2	"Xiao, 2018 PMID: 29915999"	https://pubmed.ncbi.nlm.nih.gov/29915999/				
	Cisplatin	11	HEK293-OCT2	"Filipski, 2008 PMID: 18559608"	https://www.ncbi.nlm.nih.gov/pubmed/18559608				
	Anisodine	13.3	HEK293-OCT2	"Chen, 2019 PMID: 31514980"	https://www.ncbi.nlm.nih.gov/pubmed/31514980				
	Monocrotaline	64.7	HEK293-OCT2	"Chen, 2019 PMID: 31514980"					
	N 1-methyladenosine (m1A)	N/A	HEK293-OCT2	"Miyake, 2019 PMID: 31511257"	https://www.ncbi.nlm.nih.gov/pubmed/31511257				
	p-tyramine (TYR)	0.0331	Caco-2 cells	"Sarkar, 2020 PMID: 32334013"	https://www.ncbi.nlm.nih.gov/pubmed/32334013				
	Morphine	N/A	HEK293-OCT2	"Zhu, 2018 PMID: 30361780"	https://www.ncbi.nlm.nih.gov/pubmed/30361780				
	Ethambutol	212	HEK293-OCT2	"Parvez, 2018 PMID: 30012768"	https://www.ncbi.nlm.nih.gov/pubmed/30012768				
	Berberine	1.01	MDCK-OCT2	"Sun, 2014 PMID: 24246570"	https://www.ncbi.nlm.nih.gov/pubmed/24246570				
	Proguanil	9	HEK293-OCT2	"van der Velden, 2017 PMID: 29061131"	https://www.ncbi.nlm.nih.gov/pubmed/29061131				
	Amisulpride	167.9	HEK293-OCT2	"Dos Santos Pereira, 2014 PMID: 25155823"	https://www.ncbi.nlm.nih.gov/pubmed/?term=25155823				
	Sulpiride	187.2	HEK293-OCT2	"Dos Santos Pereira, 2014 PMID: 25155823"					
	Sulpiride	390	MDCK-OCT2	"Li, 2017 PMID: 28926871"					
	Sulpiride	68	HEK293-OCT2	"Takano, 2017 PMID: 28499878"	https://www.ncbi.nlm.nih.gov/pubmed/28499878				
	para-Aminosalicylic acid (PAS)	28.7	HEK293-OCT2	"Parvez, 2017 PMID: 28223391"	https://www.ncbi.nlm.nih.gov/pubmed/28223391				
	Ethambutol	314	HEK293-OCT2	"Te Brake, 2016 PMID: 27645247"	https://www.ncbi.nlm.nih.gov/pubmed/27645247				
	Metformin	285.2	CHO-OCT2	"Sandoval, 2018 PMID: 29884691"	https://pubmed.ncbi.nlm.nih.gov/29884691/				
	MPP+	4.6	CHO-OCT2	"Sandoval, 2018 PMID: 29884691"					
	NBD-MTMA	8.8	CHO-OCT2	"Sandoval, 2018 PMID: 29884691"					
	Tetraethylammonium	57.7	CHO-OCT2	"Sandoval, 2018 PMID: 29884691"					
	Cimetidine	15.1	CHO-OCT2	"Sandoval, 2018 PMID: 29884691"					
	ASP+	37.6	CHO-OCT2	"Sandoval, 2018 PMID: 29884691"					
	MPP+	5.1	CHO-OCT2	"Severance, 2017 PMID:https: 28615288"	https://www.ncbi.nlm.nih.gov/pubmed/28615288				
	NMD-MTMA	14.5	CHO-OCT2	"Severance, 2017 PMID:https: 28615288"					
	Cimetidine	20.8	CHO-OCT2	"Severance, 2017 PMID:https: 28615288"					
	Tetraethylammonium	71.9	CHO-OCT2	"Severance, 2017 PMID:https: 28615288"					
	Choline	465	CHO-OCT2	"Severance, 2017 PMID:https: 28615288"					
	Metformin	518	CHO-OCT2	"Severance, 2017 PMID:https: 28615288"					
	Nadolol	122	HEK293-OCT2	"Misaka, 2016 PMID: 26702643"	https://pubmed.ncbi.nlm.nih.gov/26702643/				
	Nitidine chloride	0.97	MDCK-OCT2	"Li, 2016 PMID: 27324234"	https://pubmed.ncbi.nlm.nih.gov/27324234/				
	Trospium	2.1	MDCK-OCT2	"Deutsch, 2019 PMID: 30656943"	https://pubmed.ncbi.nlm.nih.gov/30656943/				
	Veliparib	44.6	HEK293-OCT2	"Kikuchi, 2013 PMID: 24122511"	https://pubmed.ncbi.nlm.nih.gov/24122511/				
	Metformin	235	OCT2-expressing oocytes	"Sogame, 2013 PMID: 23582785"	https://pubmed.ncbi.nlm.nih.gov/23582785/				
	Phenformin	37.4	OCT2-expressing oocytes	"Sogame, 2013 PMID: 23582785"					
	Entecavir	300	MDCK-OCT2	"Yang, 2016 PMID: 27503646"	https://pubmed.ncbi.nlm.nih.gov/27503646				
	Methamphetamine	2.09	HEK293-OCT2	"Wagner, 2017 PMID: 28428365"	https://pubmed.ncbi.nlm.nih.gov/28428365/				
	Amphetamine	0.83	HEK293-OCT2	"Wagner, 2017 PMID: 28428365"					
	Amphetamine	534	HEK293-OCT2	"Wagner, 2017 PMID: 28428365"					
(Not a drug)	Cadmium ion (Cd2+)	54	HEK293-OCT2	The_venod 2013 PMID: 23763587	https://pubmed.ncbi.nlm.nih.gov/23763587/				
