Transporter	Inhibitor	IC50 (_M)	Ki (_M)	Substrate used	Cell System	Reference	
OCTN1	Disprocynium24		14.6	Ergothioneine	HEK293-OCTN1	"Grigat, 2007"	
OCTN1	Hercynine		1450	Ergothioneine	HEK293-OCTN1	"Grigat, 2007"	
OCTN1	L-ergothioneine		9	Tetraethylammonium	HEK293-OCTN1	"Urban, 2007"	
OCTN1	Methimazole		7520	Ergothioneine	HEK293-OCTN1	"Grigat, 2007"	
OCTN1	Procainamide	<1000		Tetraethylammonium	HEK293-OCTN1	"Yabuuchi, 1999"	
OCTN1	Pyrilamide		182	Ergothioneine	HEK293-OCTN1	"Grigat, 2007"	
OCTN1	Quinidine	<1000		Tetraethylammonium	HEK293-OCTN1	"Yabuuchi, 1999"	
OCTN1	Quinine	<1000		Tetraethylammonium	HEK293-OCTN1	"Yabuuchi, 1999"	
OCTN1	Thioperamide		254	Ergothioneine	HEK293-OCTN1	"Grigat, 2007"	
OCTN1	Verapamil		10.8	Ergothioneine	HEK293-OCTN1	"Grigat, 2007"	
OCTN1	Cimetidine	1500		tetraethylammonium	HRPE-rOCTN1	https://www.sciencedirect.com/science/article/pii/S0005273600001899?via%3Dihub	
OCTN1	Desipramine	80		tetraethylammonium	HRPE-rOCTN1	https://www.sciencedirect.com/science/article/pii/S0005273600001899?via%3Dihub	
OCTN1	Procainamide	1000		tetraethylammonium	HRPE-rOCTN1	https://www.sciencedirect.com/science/article/pii/S0005273600001899?via%3Dihub	
OCTN1	Flecainide	176		tetraethylammonium	MDCKII-hOCTN1	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3124333/pdf/main.pdf	
OCTN1	Propafenone	67.5		tetraethylammonium	MDCKII-hOCTN1	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3124333/pdf/main.pdf	
OCTN1	Spironolactone	125		tetraethylammonium	MDCKII-hOCTN1	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3124333/pdf/main.pdf	
OCTN1	Carvedilol	73.1		tetraethylammonium	MDCKII-hOCTN1	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3124333/pdf/main.pdf	
OCTN1	Diltiazem	126.4		tetraethylammonium	MDCKII-hOCTN1	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3124333/pdf/main.pdf	
OCTN1	Nifedipine	74.6		tetraethylammonium	MDCKII-hOCTN1	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3124333/pdf/main.pdf	
OCTN1	Verapamil	11		tetraethylammonium	MDCKII-hOCTN1	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3124333/pdf/main.pdf	
OCTN1	gamma-butyrobetaine		630	tetraethylammonium	hOCTN1-reconstituted proteoliposomes	https://portlandpress.com/biochemj/article-lookup/doi/10.1042/BJ20110544	
OCTN1	Acetylcholine		440	tetraethylammonium	hOCTN1-reconstituted proteoliposomes	https://portlandpress.com/biochemj/article-lookup/doi/10.1042/BJ20110544	
OCTN1	Linagliptin	>100uM		not stated	HEK293-hOCTN1	https://www.accessdata.fda.gov/drugsatfda_docs/nda/2011/201280Orig1s000ClinPharmR.pdf	
OCTN1	Carnitine		24.08	tetraethylammonium	HEK293-hOCTN1	https://www.nature.com/articles/ng1339/tables/2	
OCTN1	Choline		230.5	tetraethylammonium	HEK293-hOCTN1	https://www.nature.com/articles/ng1339/tables/2	
OCTN1	Tetraethylammonium		439	tetraethylammonium	HEK293-hOCTN1	https://www.nature.com/articles/ng1339/tables/2	
OCTN1	Verapamil		8.38	tetraethylammonium	HEK293-hOCTN1	https://www.nature.com/articles/ng1339/tables/2	
OCTN1	Cimetidine		434.8	tetraethylammonium	HEK293-hOCTN1	https://www.nature.com/articles/ng1339/tables/2	
OCTN1	Licocaine		0.83	tetraethylammonium	HEK293-hOCTN1	https://www.nature.com/articles/ng1339/tables/2	
OCTN1	Quinidine		68.38	tetraethylammonium	HEK293-hOCTN1	https://www.nature.com/articles/ng1339/tables/2	
OCTN1	Doxorubicin	0.00931		tetraethylammonium	KB-3-3-hOCTN1	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2597359/	
OCTN1	Mitoxantrone	0.00275		tetraethylammonium	KB-3-3-hOCTN1	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2597359/	
OCTN1	Imatinib	31		ASP+	HEK293-hOCTN1	https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0052247	
OCTN1	Dipyridamole	0.0077		cytarabine	HEK293-hOCTN1	https://cancerres.aacrjournals.org/content/canres/77/8/2102.full.pdf	
OCTN1	Cobicistat	2.49		tetraethylammonium	S2-hOCTN1	https://www.pmda.go.jp/drugs/2016/P20161125002/800155000_22800AMX00714_I100_1.pdf	
OCTN1	Verapamil	12		ethambutol	HEK293-hOCTN1	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6125539/	
							
							
							
							
							
