Transporter	Inhibitor	IC50 (_M)	Ki (_M)	Substrate used	Cell System	Reference
OCTN2	Cefepime	1700		L-carnitine	HeLa-OCTN2	"Ganapathy, 2000"
OCTN2	Cefoselis	6400		L-carnitine	HeLa-OCTN2	"Ganapathy, 2000"
OCTN2	Cephaloridine	230		L-carnitine	HeLa-OCTN2	"Ganapathy, 2000"
OCTN2	Emetine	4.2		L-carnitine	OCTN2-expressing oocytes	"Wagner, 2000"
OCTN2	Cefepime	1000		L-carnitine	JAR-hOCTN2	https://www.jbc.org/content/275/3/1699.long
OCTN2	Cephaloradine	180		L-carnitine	JAR-hOCTN2	https://www.jbc.org/content/275/3/1699.long
OCTN2	Grepafloxacin		300	L-carnitine	BeWo cells expressing OCTN2	https://www.sciencedirect.com/science/article/pii/S0378517307007752?via%3Dihub
OCTN2	Levofloxacin		3000	L-carnitine	BeWo cells expressing OCTN2	https://www.sciencedirect.com/science/article/pii/S0378517307007752?via%3Dihub
OCTN2	Levofloxacin	6800		L-carnitine	Caco-2 cells expressing OCTN2	https://reader.elsevier.com/reader/sd/pii/S0005273606002501?token=F98117968CAD94073C20FE33F9D51E1DC0D91ACDD836775D2C285722514DA8C5BEF7F1EDA8A4286A4436064B50C500C4
OCTN2	Grepafloxacin	1000		L-carnitine	Caco-2 cells expressing OCTN2	https://reader.elsevier.com/reader/sd/pii/S0005273606002501?token=F98117968CAD94073C20FE33F9D51E1DC0D91ACDD836775D2C285722514DA8C5BEF7F1EDA8A4286A4436064B50C500C4
OCTN2	Verapamil	50.9		L-carnitine	MDCKII-hOCTN2	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3124333/pdf/main.pdf
OCTN2	Spironolactone	36		L-carnitine	MDCKII-hOCTN2	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3124333/pdf/main.pdf
OCTN2	Nifedipine	59.4		L-carnitine	MDCKII-hOCTN2	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3124333/pdf/main.pdf
OCTN2	Progesterone		48.6	L-carnitine	BeWo cells expressing OCTN2	https://pubmed.ncbi.nlm.nih.gov/17977516/?from_term=progesterone+octn2+inhibition&from_pos=2
OCTN2	Cediranib	2.49		L-carnitine	HEK293-hOCTN2	http://dmd.aspetjournals.org/content/42/11/1851.long
OCTN2	Omeprazole		5.2	L-carnitine	hOCTN2-reconstituted proteoliposomes	https://pubmed.ncbi.nlm.nih.gov/19041296/
OCTN2	Thioridazine	1.06		L-carnitine	MDCKII-hOCTN2	https://pubmed.ncbi.nlm.nih.gov/31437515/?from_single_result=olanzapine+octn2+inhibition&expanded_search_query=olanzapine+octn2+inhibition
OCTN2	Mildronate		26.1	L-carnitine	MDCKII-hOCTN2	https://www.ahajournals.org/doi/full/10.1161/CIRCULATIONAHA.105.586107
OCTN2	Pyrilamine	41.7		L-carnitine	HEK293-hOCTN2	https://rep.bioscientifica.com/view/journals/rep/134/5/1340651.xml
OCTN2	Verapamil	58.8		L-carnitine	HEK293-hOCTN2	https://rep.bioscientifica.com/view/journals/rep/134/5/1340651.xml
OCTN2	Quinidine	239		L-carnitine	HEK293-hOCTN2	https://rep.bioscientifica.com/view/journals/rep/134/5/1340651.xml
OCTN2	Tetraethylammonium	132		L-carnitine	HEK293-hOCTN2	https://rep.bioscientifica.com/view/journals/rep/134/5/1340651.xml
