Transporter	Substrate	Km (_M)	Cell System	Reference
OCTN2	Acetyl-L-carnitine	8.5	HEK293-hOCTN2	"Ohashi, 1999"
OCTN2	D-carnitine	10.9	HEK293-hOCTN2	"Ohashi, 1999"
OCTN2	D-carnitine	98.3	hOCTN2-expressing oocytes	"Wagner, 2000"
OCTN2	Ipratropium	53	HEK293-hOCTN2	"Nakamura, 2010"
OCTN2	L-carnitine	3.5	HeLa-hOCTN2	"Ganapathy, 2000"
OCTN2	L-carnitine	4.3	HEK293-hOCTN2	"Ohashi, 1999"
OCTN2	L-carnitine	4.8	hOCTN2-expressing oocytes	"Wagner, 2000"
OCTN2	Quinidine	ND	HEK293-hOCTN2	"Ohashi, 1999"
OCTN2	Verapamil	ND	HEK293-hOCTN2	"Ohashi, 1999"
OCTN2	Ipratropium	53	HEK293-hOCTN2	https://pubs.acs.org/doi/pdf/10.1021/mp900206j
OCTN2	Amisulpride	185	HEK293-hOCTN2	https://link.springer.com/content/pdf/10.1208/s12248-014-9649-9.pdf
OCTN2	Sulpiride	235	MDCK-hOCTN2	https://onlinelibrary.wiley.com/doi/full/10.1002/bdd.2104
OCTN2	Cephaloridine	3000	hOCTN2-expressing oocytes	http://dmd.aspetjournals.org/content/37/5/1009.long
OCTN2	Mildronate	26	HEK293-hOCTN2	http://dmd.aspetjournals.org/content/37/2/330.long
OCTN2	Pivaloylcarnitine	166	HEK293-hOCTN2	https://www.jstage.jst.go.jp/article/dmpk/23/4/23_4_293/_pdf/-char/en
OCTN2	Valproylcarnitine	168	HEK293-hOCTN2	https://www.jstage.jst.go.jp/article/dmpk/23/4/23_4_293/_pdf/-char/en
OCTN2	Tetraethylammonium	63	HRPE-hOCTN2	http://jpet.aspetjournals.org/content/290/3/1482.long
OCTN2	Tetraethylammonium	215.7	HEK293-hOCTN2	https://www.jbc.org/content/275/51/40064.long
OCTN2	Acetyl-L-carnitine	26	TR-iBRB2 cells	https://pubmed.ncbi.nlm.nih.gov/19684012/?from_term=octn2+acetylcarnitine+transport&from_pos=2
OCTN2	L-Carnitine	29	TR-iBRB2 cells	https://pubmed.ncbi.nlm.nih.gov/19684012/?from_term=octn2+acetylcarnitine+transport&from_pos=2
OCTN2	Acetyl-L-carnitine	6.57	primary epididymal spermatozoa	https://rep.bioscientifica.com/view/journals/rep/134/5/1340651.xml
OCTN2	L-carnitine	23.6	primary epididymal spermatozoa	https://rep.bioscientifica.com/view/journals/rep/134/5/1340651.xml
OCTN2	Etoposide	150	LLC-PK1-hOCTN2	https://mct.aacrjournals.org/content/11/4/921
OCTN2	Ethambutol	455	HEK293-hOCTN2	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6125539/
