Transporter	Implicated Transporter	Interacting Drug	Affected Drug	AUC	Cmax	CLR	CL/F	t1/2	Effect on PD	References	OtherLink	Interacting Dose Information	Affected Dose Information	Study Design
SLCO1B1	OATP1B1	Gemfibrozil	Simvastatin (acid)	2.91	2.12	ND	ND	1.51	ND	10976543				
SLCO1B1	OATP1B1	Gemfibrozil	Lovastatin (acid)	2.79	2.81	ND	ND	ND	ND	11372002				
SLCO1B1;SLCO1B3	OATP1B1/OATP1B3 (CYP3A4)	Cyclosporine	Fluvastatin	3.55	4.1	ND	0.31	NS	ND	11907637				
SLCO1B1	OATP1B1	Gemfibrozil	Pravastatin	2.02	NS	0.57	ND	NS	ND	12811363				
SLCO1B1;ABCC2	ABCC2/OATP1B1	Cyclosporine	Pravastatin	9.93	7.78	ND	ND	0.75	ND	14749696				
SLCO1B1	OATP1B1	Gemfibrozil	Rosuvastatin	1.88	2.21	ND	ND	NS	ND	15116058				
SLCO1B1;SLCO1B3	"OATP1B1, OATP1B3,OATP2B1"	Clarithromycin	Pravastatin	2.11	2.28	ND	ND	ND		15518608				
SLCO1B1;SLCO1B3	"OATP1B1, OATP1B3,OATP2B1"	Clarithromycin	Simvastatin	9.95	7.14	ND	ND	ND		15518608				
SLCO1B1;SLCO1B3	"OATP1B1, OATP1B3,OATP2B1"	Clarithromycin	Atorvastatin	4.45	5.38	ND	ND	ND		15518608				
SLCO1B1	OATP1B1	Gemfibrozil	Atorvastatin (acid)	1.24	1.17	ND	ND	0.84	ND	16084850				
SLCO1B1;ABCB1	ABCB1/OATP1B1 (CYP3A4)	Cyclosporine	Atorvastatin (acid)	15.3	13.7	ND	ND	ND	NS	16095503				
SLCO1B1	OATP1B1 (CYP3A4)	Cyclosporine	Repaglinide	2.44	1.72	NS	ND	NS	NS	16198658				
SLCO1B1	OATP1B1	Rifampicin 	Atorvastatin (acid)	7.25	10.5	ND	0.13	0.37	ND	17192770				
SLCO1B1	OATP1B1 (CYP2C8)	Gemfibrozil	Repaglinide	8.22	2.6	ND	ND	2.27	Yes	19238654				
ABCG2	ABCG2	Pantoprazole	Sulfasalazine	1	1	ND	ND	1		19569219				
SLCO1B1;SLCO1B3;ABCG2	ABCG2/OATP	Tipranavir + Ritonavir	Rosuvastatin	1.37	2.23	ND	ND	ND		19667285				
SLCO1B1	OATP1B1	Rifampicin 	Pravastatin	2.27	2.73	ND	0.5	NS	ND	19695392				
SLCO1B1	OATP1B1	Gemfibrozil	Atorvastatin (acid)	1.35	NS	ND	ND	0.74	ND	20413454				
SLC22A1	OCTs	Rifampin	Metformin	1.13	1.10	1.16	NR	0.92	Yes	21270793				
SLCO1B1;ABCG2	ABCG2/OATP1B1	Eltrombopag	Rosuvastatin	1.55	2.03	ND	ND	ND	ND	21434975				
SLC22A6;SLC22A8	OATs	Probenecid	Mesna	1.89	1.44	0.44	ND	1.05	ND	21505084				
SLC22A6;SLC22A8	OATs	Probenecid	Mesna	1.89	1.44	0.44	ND	1.05	ND	21505084				
ABCG2	ABCG2	Curcumin	Sulfasalazine	3.2	3.72	ND	3.24	ND		22300367				
SLCO1B1;SLCO1B3	"OATP1B1, OATP1B3"	Clarithromycin	Bosentan	3.73	3.82	ND	0.27	NR		23738582				
SLCO1B1	OATP1B1	Rifampicin 	Pitavastatin	5.28	7.65	ND	0.15	0.51	ND	23831870				
 SLC22A2;SLC47A1	 OCT2/MATE1	Cimetidine	Glycopyrronium	1.22	NS	0.77				24040847				
SLC22A6;SLC22A8	OATs	Probenecid	Empagliflozin	1.52	1.24	0.46	ND	1.10	ND	24491572				
