Transporter	Inhibitor	IC50 (uM)	KI (uM)	Substrate used	Cell system	References	OtherLink	
ABCC2	Bilirubin monoglucuronide	0.28		Leukotriene C4	MRP2-expressing HepG2 cells	9355767		
ABCC2	Bilirubin bisglucuronide	0.4		Leukotriene C4	MRP2-expressing HepG2 cells	9355767		
ABCC2	Cyclosporine		21	monoglucuronosyl bilirubin	MRP2-expressing HEK vesicles	10421658		
ABCC2	Leukotrien C4	3.3		para-aminohippurate	MRP2-expressing HEK vesicles	10760098		
ABCC2	MK-571	4		para-aminohippurate	MRP2-expressing HEK vesicles	10760098		
ABCC2	Ochratoxin A	58		para-aminohippurate	MRP2-expressing HEK vesicles	10760098		
ABCC2	Atorvastatin lactone	15		calcein AM	MRP2-expressing MDCK cells	15616150		
ABCC2	VINBLASTINE	21		calcein AM	MRP2-expressing MDCK cells	15616150		
ABCC2	Simvastatin lactone	25		calcein AM	MRP2-expressing MDCK cells	15616150		
ABCC2	Probenecid		42.2	"S-(2,4-dinitrophenyl)-glutathione"	Liver canalicular membrane vesicles	15618649		
ABCC2	MK-571	10		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	18457386		
ABCC2	Cyclosporine	13.6		calcein AM	MRP2-expressing MDCK-II cells	18707884		
ABCC2	MK-571	20.7		calcein AM	MRP2-expressing MDCK-II cells	18707884		
ABCC2	verapamil	200		calcein AM	MRP2-expressing MDCK-II cells	18707884		
ABCC2	Indomethacin	235		calcein AM	MRP2-expressing MDCK-II cells	18707884		
ABCC2	LCT4	0.15		chloromethylfluorescein-diacetate	MRP2-expressing MDCK cells	19170519		
ABCC2	MK-571	1		chloromethylfluorescein-diacetate	MRP2-expressing MDCK cells	19170519		
ABCC2	KO-143	50		chloromethylfluorescein-diacetate	MRP2-expressing MDCK cells	19170519		
ABCC2	KO-143+C15	50		chloromethylfluorescein-diacetate	MRP2-expressing MDCK cells	19170519		
ABCC2	myricetin	22		calcein AM	MRP2-expressing MDCK-II cells	19725578		
ABCC2	diosmetin	50		calcein AM	MRP2-expressing MDCK-II cells	19725578		
ABCC2	chrysoeril	50		calcein AM	MRP2-expressing MDCK-II cells	19725578		
ABCC2	Etravirine	7.8		calcein AM	MRP2-expressing MDCK-II cells	21189339		
ABCC2	Isoscutellarin	50		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	22822035		
ABCC2	Scutellarin	75		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	22822035		
ABCC2	Dolutegravir	90		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23132334		
ABCC2	Dolutegravir	100		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23132334		
ABCC2	Ethacrynic acid	3.85		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Clofazimine	10.4		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Everolimus	11.3		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Cyclosporine	14.5		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Rifaximin	15.4		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Rifapentine	16.3		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Temsirolimus	17.6		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Daptomycin	29.1		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Suramin	36.8		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Tacrolimus	40.3		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Benzbromarone	41.6		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Wortmannin	46.1		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Rifabutin	49.8		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Rifampicin	53		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Ertapenem sodium	56.2		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Eprosartan	57.9		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Zafirlukast	58.8		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Rubitecan	60.5		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Valrubicin	64		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Reserpine	68.4		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Repaglinide	72.3		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Leuprolide acetate	80.2		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	EPALRESTAT	84.4		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Cefixime	89.4		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Foscarnet sodium	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Nefopam	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Orlistat	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Thiotepa	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Voriconazole	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Hydrochlorothiazide	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Isoxicam	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Melphalan	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Metformin	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Vorinostat	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Zolpidem tartrate	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Tiapride	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Terlipressin acetate	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Venlafaxine	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Roquinimex	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Fluvoxamine maleate	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Talniflumate	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Fluoxetine	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	MINOXIDIL	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Nateglinide	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Sumatriptan	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Zaleplon	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Pindolol	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Ramipril	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Remoxipride	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	RIBAVIRIN	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Risperidone	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	D(-)-Norgestrel	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Nimesulide	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Famciclovir	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Vigabtrin	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Ethosuximide	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Ethambutol dihydrochloride	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Dutasteride	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Doxazosin Mesylate	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Cefdinir	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Tacrine	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Aspirin	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Azlocillin sodium	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Bronopol	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Decitabine	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	M-AMSA	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Mebendazole	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Amlodipine	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Alendronate sodium	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Alprenolol	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Atropine	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Donepezil	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Dipyridamole	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Sunitinib malate	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Alprostadil	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Lornoxicam	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Quercetin	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Nisoldipine	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Gefitinib	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Oxymetholone	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Exemestane	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Maraviroc	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Isradipine	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Enfuvirtide acetate	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Bromopride	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Celecoxib	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Ciclesonide	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Acecainide	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Agomelatine	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Colchicine	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Dofetilide	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	DOX	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Chlorzoxazone	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Erythromycin	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Bifonazole	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	1-Naphthylisothiocyanate	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Dinoprost tromethamine	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Abiraterone	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Acipimox	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Enoxacin	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	methimazole	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Oxcarbazepine	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Flutamide	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Zonisamide	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Minocycline hydrochloride	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Topiramate	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Nevirapine	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Nitrazepam	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Probenecid	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	ranitidine	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Rivaroxaban	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Rocuronium bromide	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Zileuton	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
