Transporter	Substrate	Km (uM)	Cell System	References
ABCC2	"2,4-dinitrophenyl-S-glutathione"	70	MRP2-expressing MDCK vesicles	10024515
ABCC2	Leukotriene C4	1	MRP2-expressing MDCK vesicles	10220572
ABCC2	E3040 glucuronide	14.1	Liver canalicular membrane vesicles	10330006
ABCC2	"2,4-dinitrophenyl-S-glutathione"	193	Liver canalicular membrane vesicles	10330006
ABCC2	Bilirubin bisglucuronide	0.9	MRP2-expressing HEK vesicles	10421658
ABCC2	Bilirubin monoglucuronide	0.7	MRP2-expressing HEK vesicles	10421658
ABCC2	Leukotriene C4	0.26	MRP2-expressing LLC PK1 vesicles	10570049
ABCC2	Estradiol-17beta-glucuronide	9.4	Caco-2 brush border membrane vesicles	10604957
ABCC2	"2,4-dinitrophenyl-S-glutathione"	16.9	Caco-2 brush border membrane vesicles	10604957
ABCC2	3-O-glucuronide of ethinylestradiol	35.1	MRP2-expressing sf9 vesicles	14722317
ABCB1	Oseltamivir	4200	MDR1-expressing LLC-PK1 cells	19721074
ABCB1	Verapamil	2	MDR1-expressing Sf9 vesicles	15863325
ABCB1	Paclitaxel	0.7	MDR1-expressing Sf9 vesicles	15863325
ABCB1	Estradiol-17beta-glucuronide	62	MDR1-expressing Sf9 vesicles	9794924
ABCB1	Grepafloxacin	580	MDR1-expressing Caco-2 cells	10992002
ABCB1	Levofloxacin	5600	MDR1-expressing Caco-2 cells	10992002
ABCB1	Dolastatin-10	0.9	MDR1-containing proteoliposomes	8621716
ABCB1	Verapamil	2	MDR1-containing proteoliposomes	8621716
ABCB1	Vinblastine	0.8	MDR1-containing proteoliposomes	8621716
ABCB1	Valinomycin	1	MDR1-containing proteoliposomes	8621716
ABCB1	Progesterone	30	MDR1-containing proteoliposomes	8621716
ABCB1	Quinine	10	MDR1-containing proteoliposomes	8621716
ABCB1	Emetine	6	MDR1-containing proteoliposomes	8621716
ABCB1	Losartan	100	MDR1-containing proteoliposomes	8621716
ABCB1	Prazosin	20	MDR1-expressing insect vesicles	9380680
ABCB1	Cyclosporine	3.8	MDR1-expressing Caco-2 cells	8842452
ABCB1	Damgo	43	MDR1-expressing SW1573/S1 vesicles	11786185
ABCB1	Hydroxyrubicin	2	MDR1-expressing K562 cells	7805856
ABCB1	Cyclosporine	8.4	MDR1-expressing LLC-PK1 cells	7681059
ABCB1	Vinblastine	18.99	MDR1-expressing Caco-2 cells	8100632
