Transporter Protein	Chemical	CAS #	Organism	IC50 (uM)	EC 50 (uM)	Km (uM)	Ki (uM)	Interaction Type	Substrate / Nonsubstrate	Assay type	In Vitro System	Reporter molecule	Pubmed ID	DOI
SLCO1B1	Bromosulfophthalein	71-67-0	Homo Sapiens	0.05				Inhibitor		Reporter uptake	HEK293 cells	[3H]demethylphalloin	14530907	10.1007/s00210-003-0814-4
ABCB1	Ivermectin	71827-03-7	Homo Sapiens	0.1				Inhibitor		Monolayer	Caco2 cells	Rhodamine 123	15953199	10.1111/j.1365-2885.2005.00655.x
ABCB1	Valspodar	12584-18-7	Homo Sapiens	0.11				Inhibitor		Monolayer	Caco-2 cells	[3H] digoxin	10901697	none (1)
ABCB1	Selamectin	220119-17-5	Homo Sapiens	0.12				Inhibitor		Monolayer	Caco2 cells	Rhodamine 123	15953199	10.1111/j.1365-2885.2005.00655.x
SLCO2B1	MK571	115104-28-4	Homo Sapiens	0.2				Inhibitor		Reporter uptake	MDCK-II cells	[3H]bromosulfophthalein	16495352	10.1093/toxsci/kfj141
SLCO1B3	Cyclosporin A	59865-13-3	Homo Sapiens	0.3				Inhibitor		Reporter uptake	MDCK-II cells	[3H]O-methyl-dehydroxymethyl-alpha-amanitin	16495352	10.1093/toxsci/kfj141
SLCO1B3	Cyclosporin A	59865-13-3	Homo Sapiens	0.3				Inhibitor		Reporter uptake	MDCK-II cells	[3H]bromosulfophthalein	16495352	10.1093/toxsci/kfj141
SLCO1B3	MK571	115104-28-4	Homo Sapiens	0.3				Inhibitor		Reporter uptake	MDCK-II cells	[3H]bromosulfophthalein	16495352	10.1093/toxsci/kfj141
SLCO1B3	Silibinin dihemisuccinate	none	Homo Sapiens	0.4			2.1	Inhibitor		Reporter uptake	MDCK-II cells	[3H]O-methyl-dehydroxymethyl-alpha-amanitin	16495352	10.1093/toxsci/kfj141
ABCB1	Rhodamine 123	62669-70-9	Homo Sapiens	0.5				Inhibitor		Radio-ligand binding	Caco-2 cells 	[3H] verapamil	9688051	10.1023/a:1011965707998
SLCO1B1	Cyclosporin A	59865-13-3	Homo Sapiens	0.5			0.051	Inhibitor		Reporter uptake	HEK293 cells	[3H]demethylphalloin	14530907	10.1007/s00210-003-0814-4
SLCO1B3	MK571	115104-28-4	Homo Sapiens	0.5			0.2	Inhibitor		Reporter uptake	MDCK-II cells	[3H]O-methyl-dehydroxymethyl-alpha-amanitin	16495352	10.1093/toxsci/kfj141
SLCO1B3	Montelukast	158966-92-8	Homo Sapiens	0.5				Inhibitor		Reporter uptake	MDCK-II cells	[3H]bromosulfophthalein	16495352	10.1093/toxsci/kfj141
SLCO1B3	Antamanide	16898-32-1	Homo Sapiens	0.7			0.7	Inhibitor		Reporter uptake	MDCK-II cells	[3H]O-methyl-dehydroxymethyl-alpha-amanitin	16495352	10.1093/toxsci/kfj141
SLCO1B3	Rifampicin	13292-46-1	Homo Sapiens	0.8				Inhibitor		Reporter uptake	MDCK-II cells	[3H]O-methyl-dehydroxymethyl-alpha-amanitin	16495352	10.1093/toxsci/kfj141
SLCO1B1	Antamanide	16898-32-1	Homo Sapiens	1				Inhibitor		Reporter uptake	HEK293 cells	[3H]demethylphalloin	14530907	10.1007/s00210-003-0814-4
SLCO1B3	Silibinin dihemisuccinate	none	Homo Sapiens	1				Inhibitor		Reporter uptake	MDCK-II cells	[3H]bromosulfophthalein	16495352	10.1093/toxsci/kfj141
SLCO2B1	Montelukast	158966-92-8	Homo Sapiens	1				Inhibitor		Reporter uptake	MDCK-II cells	[3H]bromosulfophthalein	16495352	10.1093/toxsci/kfj141
SLCO2B1	Silibinin dihemisuccinate	none	Homo Sapiens	1				Inhibitor		Reporter uptake	MDCK-II cells	[3H]bromosulfophthalein	16495352	10.1093/toxsci/kfj141
SLCO1B1	Sirolimus	53123-88-9	Homo Sapiens	1.1				Inhibitor		Reporter uptake	HEK293 cells	[3H]demethylphalloin	14530907	10.1007/s00210-003-0814-4
ABCB1	Chloropromazine	50-53-3	Homo Sapiens	1.2				Inhibitor		Radio-ligand binding	Caco-2 cells 	[3H] verapamil	9688051	10.1023/a:1011965707998
ABCB1	Ketoconazole	79156-75-5	Homo Sapiens	1.4				Inhibitor		Monolayer	Caco-2 cells	[3H] digoxin	10901697	none (1)
ABCG2	Cyclosporin A	59865-13-3	Homo Sapiens	1.4				Inhibitor		ATPase	High Five insect cell crude membranes	Inorganic phosphate	17031644	10.1007/s00280-006-0357-8
ABCB1	Verapamil	52-53-9	Homo Sapiens	1.5				Inhibitor		Radio-ligand binding	Caco-2 cells 	[3H] verapamil	9688051	10.1023/a:1011965707998
SLCO1B3	Rifampicin	13292-46-1	Homo Sapiens	1.5				Inhibitor		Reporter uptake	MDCK-II cells	[3H]bromosulfophthalein	16495352	10.1093/toxsci/kfj141
ABCG2	Sirolimus	53123-88-9	Homo Sapiens	1.53				Inhibitor		ATPase	High Five insect cell crude membranes	Inorganic phosphate	17031644	10.1007/s00280-006-0357-8
ABCB1	Mibefradil	116644-53-2	Homo Sapiens	1.6				Inhibitor		Monolayer	Caco-2 cells	[3H] digoxin	10901697	none (1)
ABCB1	Verapamil	52-53-9	Homo Sapiens	1.7				Inhibitor		Monolayer	Caco2 cells	[14C]ximelagatran	16455803	10.1124/dmd.105.008607
ABCB1	Quinidine	56-54-2	Homo Sapiens	1.8				Inhibitor		Monolayer	Caco2 cells	[14C]ximelagatran	16455803	10.1124/dmd.105.008607
SLCO1B3	Paclitaxel	33069-62-4	Homo Sapiens	2				Inhibitor		Reporter uptake	MDCK-II cells	[3H]O-methyl-dehydroxymethyl-alpha-amanitin	16495352	10.1093/toxsci/kfj141
ABCG2	Tacrolimus	104987-11-3	Homo Sapiens	2.1				Inhibitor		ATPase	High Five insect cell crude membranes	Inorganic phosphate	17031644	10.1007/s00280-006-0357-8
SLCO1B3	Bromosulfophthalein	71-67-0	Homo Sapiens	3				Inhibitor		Reporter uptake	MDCK-II cells	[3H]O-methyl-dehydroxymethyl-alpha-amanitin	16495352	10.1093/toxsci/kfj141
SLCO1B1	Cyclosporin A	59865-13-3	Homo Sapiens	3.5				Inhibitor		Reporter uptake	MDCK-II cells	[3H]bromosulfophthalein	16495352	10.1093/toxsci/kfj141
SLCO1B1	Tacrolimus	104987-11-3	Homo Sapiens	3.7				Inhibitor		Reporter uptake	HEK293 cells	[3H]demethylphalloin	14530907	10.1007/s00210-003-0814-4
SLCO1B3	Paclitaxel	33069-62-4	Homo Sapiens	4				Inhibitor		Reporter uptake	MDCK-II cells	[3H]bromosulfophthalein	16495352	10.1093/toxsci/kfj141
SLCO1B1	MK571	115104-28-4	Homo Sapiens	5				Inhibitor		Reporter uptake	MDCK-II cells	[3H]bromosulfophthalein	16495352	10.1093/toxsci/kfj141
ABCB1	Haloperidol	52-86-8	Homo Sapiens	5.3				Inhibitor		Radio-ligand binding	Caco-2 cells 	[3H] verapamil	9688051	10.1023/a:1011965707998
ABCB1	Moxidectin	113507-06-5	Homo Sapiens	10				Inhibitor		Monolayer	Caco2 cells	Rhodamine 123	15953199	10.1111/j.1365-2885.2005.00655.x
SLCO1B1	Montelukast	158966-92-8	Homo Sapiens	10				Inhibitor		Reporter uptake	MDCK-II cells	[3H]bromosulfophthalein	16495352	10.1093/toxsci/kfj141
SLCO1B1	Silibinin dihemisuccinate	none	Homo Sapiens	10				Inhibitor		Reporter uptake	MDCK-II cells	[3H]bromosulfophthalein	16495352	10.1093/toxsci/kfj141
SLCO1B3	Sincalide	25126-32-3	Homo Sapiens	10				Inhibitor		Reporter uptake	MDCK-II cells	[3H]O-methyl-dehydroxymethyl-alpha-amanitin	16495352	10.1093/toxsci/kfj141
ABCB1	Ketoconazole	79156-75-5	Homo Sapiens	13				Inhibitor		Radio-ligand binding	Caco-2 cells 	[3H] verapamil	9688051	10.1023/a:1011965707998
SLCO1B3	Antamanide	16898-32-1	Homo Sapiens	15				Inhibitor		Reporter uptake	MDCK-II cells	[3H]bromosulfophthalein	16495352	10.1093/toxsci/kfj141
SLCO1B3	Montelukast	158966-92-8	Homo Sapiens	15				Inhibitor		Reporter uptake	MDCK-II cells	[3H]O-methyl-dehydroxymethyl-alpha-amanitin	16495352	10.1093/toxsci/kfj141
SLCO2B1	Cyclosporin A	59865-13-3	Homo Sapiens	20				Inhibitor		Reporter uptake	MDCK-II cells	[3H]bromosulfophthalein	16495352	10.1093/toxsci/kfj141
SLCO1B3	Penicillin G	61-33-6	Homo Sapiens	25				Inhibitor		Reporter uptake	MDCK-II cells	[3H]O-methyl-dehydroxymethyl-alpha-amanitin	16495352	10.1093/toxsci/kfj141
SLCO2B1	Paclitaxel	33069-62-4	Homo Sapiens	25				Inhibitor		Reporter uptake	MDCK-II cells	[3H]bromosulfophthalein	16495352	10.1093/toxsci/kfj141
ABCB1	Vinblastine	865-21-4	Homo Sapiens	34				Inhibitor		Radio-ligand binding	Caco-2 cells 	[3H] verapamil	9688051	10.1023/a:1011965707998
SLCO1B1	Paclitaxel	33069-62-4	Homo Sapiens	50				Inhibitor		Reporter uptake	MDCK-II cells	[3H]bromosulfophthalein	16495352	10.1093/toxsci/kfj141
SLCO1B3	Prednisolone phosphate	302-25-0	Homo Sapiens	75				Inhibitor		Reporter uptake	MDCK-II cells	[3H]O-methyl-dehydroxymethyl-alpha-amanitin	16495352	10.1093/toxsci/kfj141
ABCB1	Vincristine	57-22-7	Homo Sapiens	86				Inhibitor		Radio-ligand binding	Caco-2 cells 	[3H] verapamil	9688051	10.1023/a:1011965707998
SLCO2B1	Rifampicin	13292-46-1	Homo Sapiens	90				Inhibitor		Reporter uptake	MDCK-II cells	[3H]bromosulfophthalein	16495352	10.1093/toxsci/kfj141
SLCO1B1	Antamanide	16898-32-1	Homo Sapiens	100				Inhibitor		Reporter uptake	MDCK-II cells	[3H]bromosulfophthalein	16495352	10.1093/toxsci/kfj141
ABCB1	Erythromycin A	114-07-8	Homo Sapiens	119				Inhibitor		Monolayer	Caco2 cells	[14C]ximelagatran	16455803	10.1124/dmd.105.008607
SLCO1B1	Rifampicin	13292-46-1	Homo Sapiens	120				Inhibitor		Reporter uptake	MDCK-II cells	[3H]bromosulfophthalein	16495352	10.1093/toxsci/kfj141
SLC22A8	Cefaclor	53994-73-3	Homo Sapiens	120.2				Inhibitor		Reporter uptake	HEK293 cells	[3H]estrone sulfate	16098483	10.1016/j.bcp.2005.06.024
SLC22A8	Cefotiam	61622-34-2	Homo Sapiens	212.6				Inhibitor		Reporter uptake	HEK293 cells	[3H]estrone sulfate	16098483	10.1016/j.bcp.2005.06.024
SLC22A8	Ceftibuten	97519-39-6	Homo Sapiens	247.3				Inhibitor		Reporter uptake	HEK293 cells	[3H]estrone sulfate	16098483	10.1016/j.bcp.2005.06.024
SLC22A8	Cefdinir	91832-40-5	Homo Sapiens	271.5				Inhibitor		Reporter uptake	HEK293 cells	[3H]estrone sulfate	16098483	10.1016/j.bcp.2005.06.024
ABCB1	Quinidine	56-54-2	Homo Sapiens	340				Inhibitor		Radio-ligand binding	Caco-2 cells 	[3H] verapamil	9688051	10.1023/a:1011965707998
ABCB1	Propranolol	525-66-6	Homo Sapiens	350				Inhibitor		Radio-ligand binding	Caco-2 cells 	[3H] verapamil	9688051	10.1023/a:1011965707998
ABCB1	Quinine	130-95-0	Homo Sapiens	430				Inhibitor		Radio-ligand binding	Caco-2 cells 	[3H] verapamil	9688051	10.1023/a:1011965707998
SLC22A6	Ceftibuten	97519-39-6	Homo Sapiens	563.1				Inhibitor		Reporter uptake	HEK293 cells	[14C]p-aminohippurate	16098483	10.1016/j.bcp.2005.06.024
SLC22A8	Cephaloridine	50-59-9	Homo Sapiens	626.4				Inhibitor		Reporter uptake	HEK293 cells	[3H]estrone sulfate	16098483	10.1016/j.bcp.2005.06.024
SLC22A6	Cefotiam	61622-34-2	Homo Sapiens	639.7				Inhibitor		Reporter uptake	HEK293 cells	[14C]p-aminohippurate	16098483	10.1016/j.bcp.2005.06.024
SLC22A6	Cefdinir	91832-40-5	Homo Sapiens	691.8				Inhibitor		Reporter uptake	HEK293 cells	[14C]p-aminohippurate	16098483	10.1016/j.bcp.2005.06.024
ABCB1	Celiprolol	56980-93-9	Homo Sapiens	730				Inhibitor		Radio-ligand binding	Caco-2 cells 	[3H] verapamil	9688051	10.1023/a:1011965707998
ABCB1	Talinolol	57460-41-0	Homo Sapiens	830				Inhibitor		Radio-ligand binding	Caco-2 cells 	[3H] verapamil	9688051	10.1023/a:1011965707998
SLC22A8	Ceftizoxime	68401-81-0	Homo Sapiens	956.7				Inhibitor		Reporter uptake	HEK293 cells	[3H]estrone sulfate	16098483	10.1016/j.bcp.2005.06.024
ABCB1	Doxorubicin	23214-92-8	Homo Sapiens	990				Inhibitor		Radio-ligand binding	Caco-2 cells 	[3H] verapamil	9688051	10.1023/a:1011965707998
SLC22A6	Cefaclor	53994-73-3	Homo Sapiens	1095.6				Inhibitor		Reporter uptake	HEK293 cells	[14C]p-aminohippurate	16098483	10.1016/j.bcp.2005.06.024
ABCB1	Metoprolol	51384-51-1	Homo Sapiens	1300				Inhibitor		Radio-ligand binding	Caco-2 cells 	[3H] verapamil	9688051	10.1023/a:1011965707998
ABCB1	Pindolol	13523-86-9	Homo Sapiens	1950				Inhibitor		Radio-ligand binding	Caco-2 cells 	[3H] verapamil	9688051	10.1023/a:1011965707998
SLC22A6	Cephaloridine	50-59-9	Homo Sapiens	2470				Inhibitor		Reporter uptake	HEK293 cells	[14C]p-aminohippurate	16098483	10.1016/j.bcp.2005.06.024
SLC22A6	Cefoselis	122841-10-5	Homo Sapiens	2600.5				Inhibitor		Reporter uptake	HEK293 cells	[14C]p-aminohippurate	16098483	10.1016/j.bcp.2005.06.024
SLC22A8	Cefoselis	122841-10-5	Homo Sapiens	2925.1				Inhibitor		Reporter uptake	HEK293 cells	[3H]estrone sulfate	16098483	10.1016/j.bcp.2005.06.024
