Transporter	Chemical	Chemical Concentration (uM)	Interaction Type	IC50 (uM)	EC 50 (uM)	Km (uM)	Substrate used/ATPase assay/Cell-viability assay	Basal ATPase Activity	ATPase stimulation	Cell/in vitro System	Reference (Pubmed ID)
P-gp	(+) Devapamil	0.3-30	Inhibitor		1		[3H] vimblastine			F4-6RADR	1352973
P-gp	(-) Niguldipine	0.3-30	Inhibitor		1.1		[3H] vimblastine			Monkey Kidney Cells (COS-7)	1352973
P-gp	(+) Niguldipine	0.3-30	Inhibitor		1.1		[3H] vimblastine			Monkey Kidney Cells (COS-7)	1352973
P-gp	(+) Niguldipine	0.3-30	Inhibitor		1.2		[3H] vimblastine			F4-6RADR	1352973
P-gp	(-) Niguldipine	0.3-30	Inhibitor		1.3		[3H] vimblastine			F4-6RADR	1352973
P-gp	(+) Devapamil	0.3-30	Inhibitor		1.3		[3H] vimblastine			Monkey Kidney Cells (COS-7)	1352973
P-gp	(+) Verapamil	0.3-30	Inhibitor		1.6		[3H] vimblastine			Monkey Kidney Cells (COS-7)	1352973
P-gp	PCP	10	Inhibitor		1.6		Calcein			MDCKII-MDR1 cells	24375866
P-gp	(-) Devapamil	0.3-30	Inhibitor		2.1		[3H] vimblastine			F4-6RADR	1352973
P-gp	(+) Emopamil	0.3-30	Inhibitor		2.4		[3H] vimblastine			F4-6RADR	1352973
P-gp	(-) Verapamil	0.3-30	Inhibitor		2.4		[3H] vimblastine			Monkey Kidney Cells (COS-7)	1352973
P-gp	Gallopamil	0.3-30	Inhibitor		2.4		[3H] vimblastine			Monkey Kidney Cells (COS-7)	1352973
P-gp	Gallopamil	0.3-30	Inhibitor		2.5		[3H] vimblastine			F4-6RADR	1352973
P-gp	(+) Verapamil	0.3-30	Inhibitor		2.6		[3H] vimblastine			F4-6RADR	1352973
P-gp	Endosulfan	0.1-100	Inhibitor		2.8					NIH 3T3 mouse fibroblasts	21783720
P-gp	(-) Verapamil	0.3-30	Inhibitor		2.9		[3H] vimblastine			F4-6RADR	1352973
P-gp	(-) Emopamil	0.3-30	Inhibitor		3		[3H] vimblastine			F4-6RADR	1352973
P-gp	Phosalone	0.1-100	Inhibitor		3					NIH 3T3 mouse fibroblasts	21783720
P-gp	PSC-833	0-7	Inhibitor		3.2		Calcein			MDCKII-MDR1 cells	24375866
P-gp	Cyclosporin A	0-1000	Inhibitor		3.4		Calcein			MDR-CEM cells	8862725
P-gp	Propiconazole	0.1-100	Inhibitor		3.6					NIH 3T3 mouse fibroblasts	21783720
P-gp	(-) Devapamil	0.3-30	Inhibitor		3.7		[3H] vimblastine			Monkey Kidney Cells (COS-7)	1352973
