Transporter Protein	Chemical	Organism (protein source)	IC50 (uM)	EC50 (uM)	Km (uM)	Ki (uM)	Inhibitor	Substrate	In vitro system	Reporter	Pubmed ID	Reference
ABCB1	(-)-devapamil	Chlorocebus aethiops		3.7			Inhibitor		COS-7 cells	[3H]vinblastine	1352973	"Hollt, 1992"
ABCB1	(-)-devapamil	Homo Sapiens		2.1			Inhibitor		F4-6P cells	[3H]vinblastine	1352973	"Hollt, 1992"
ABCB1	(-)-emopamil	Chlorocebus aethiops		3.7			Inhibitor		COS-7 cells	[3H]vinblastine	1352973	"Hollt, 1992"
ABCB1	(-)-emopamil	Homo Sapiens		3			Inhibitor		F4-6P cells	[3H]vinblastine	1352973	"Hollt, 1992"
ABCB1	(-)-felodipine	Chlorocebus aethiops		19.2			Inhibitor		COS-7 cells	[3H]vinblastine	1352973	"Hollt, 1992"
ABCB1	(-)-felodipine	Homo Sapiens		8.6			Inhibitor		F4-6P cells	[3H]vinblastine	1352973	"Hollt, 1992"
ABCB1	(-)-isradipine	Chlorocebus aethiops		4			Inhibitor		COS-7 cells	[3H]vinblastine	1352973	"Hollt, 1992"
ABCB1	(-)-isradipine	Homo Sapiens		4.7			Inhibitor		F4-6P cells	[3H]vinblastine	1352973	"Hollt, 1992"
ABCB1	(-)-niguldipine	Chlorocebus aethiops		1.1			Inhibitor		COS-7 cells	[3H]vinblastine	1352973	"Hollt, 1992"
ABCB1	(-)-niguldipine	Homo Sapiens		1.3			Inhibitor		F4-6P cells	[3H]vinblastine	1352973	"Hollt, 1992"
ABCB1	(-)-nimodipine	Chlorocebus aethiops		6.7			Inhibitor		COS-7 cells	[3H]vinblastine	1352973	"Hollt, 1992"
ABCB1	(-)-nimodipine	Homo Sapiens		15.8			Inhibitor		F4-6P cells	[3H]vinblastine	1352973	"Hollt, 1992"
ABCB1	(-)-nitrendipine	Chlorocebus aethiops		8.6			Inhibitor		COS-7 cells	[3H]vinblastine	1352973	"Hollt, 1992"
ABCB1	(-)-nitrendipine	Homo Sapiens		9.4			Inhibitor		F4-6P cells	[3H]vinblastine	1352973	"Hollt, 1992"
ABCB1	(-)-verapamil	Chlorocebus aethiops		2.4			Inhibitor		COS-7 cells	[3H]vinblastine	1352973	"Hollt, 1992"
ABCB1	(-)-verapamil	Homo Sapiens		2.9			Inhibitor		F4-6P cells	[3H]vinblastine	1352973	"Hollt, 1992"
ABCB1	(+)-devapamil	Chlorocebus aethiops		1.3			Inhibitor		COS-7 cells	[3H]vinblastine	1352973	"Hollt, 1992"
ABCB1	(+)-devapamil	Homo Sapiens		1			Inhibitor		F4-6P cells	[3H]vinblastine	1352973	"Hollt, 1992"
ABCB1	(+)-emopamil	Chlorocebus aethiops		3.8			Inhibitor		COS-7 cells	[3H]vinblastine	1352973	"Hollt, 1992"
