PUBMEDID	Author	Year	OtherLink	OtherText
10024515	Paulusma	1999		
10075817	Bebawy	1999		
10198227	Wigler	1999		
10220572	Cui	1999		
10330006	Niinuma	1999		
10421658	Kamisako	1999		
10454528	Wu	1999		
10570049	Chen	1999		
10604957	Hirohashi	2000		
10617675	Lecureur	2000		
10636865	Ganapathy	2000		
10725273	Soldner	2000		
10760098	Leier	2000		
10773005	Pauli-Magnus	2000		
10820137	Choo	2000		
10825452	Wu	2000		
10901697	Wandel	2000		
10976543	Backman	2000		
10992002	Yamaguchi	2000		
10997946	Kawahara	2000		
11010964	Tamai	2000		
11027568	Wang	2000		
11145223	Katoh	2000		
11231118	Katoh	2001		
11372002	Kyrklund	2001		
11375950	Abe	2001		
11405287	Gao	2001		
11408360	Stormer	2001		
11452702	Stormer	2001		
11474784	Wang	2001		
11504826	Jang	2001		
11504828	Smith	2001		
11688982	Nakatomi	2001		
11716514	Wang	2001		
11743742	Wang	2001		
11751127	Wang	2002		
11770010	Pauli-Magnus	2001		
11786185	Oude	2001		
11901101	Guo	2002		
11907637	Park	2001		
11961113	Ekins	2002		
11964599	Wandel	2002		
12031686	Boulton	2002		
12085361	Vavricka	2002		
12110607	Hayer-Zillgen	2002		
12128170	Takara	2002		
12130727	Bhardwaj	2002		
12134945	Tang	2002		
12134946	Tang	2002		
12235265	Wacher	2002		
12538813	Shitara	2003		
12569305	Lee	2003		
12604693	Kumar	2003		
12606755	Bednarczyk	2003		
12636153	Horie	2003		
12699389	Schwab	2003		
12700464	Vishnuvardhan	2003		
12811363	Kyrklund	2003		
12874005	Chen	2003		
12920197	Imai	2003		
1356264	Ambudkar	1992		
14722317	Chu	2004		
14749696	Hedman	2004		
15107849	Peltekova	2004		
15116058	Schneck	2004		
15159445	Hirano	2004		
15289793	Simonson	2004		
15316089	Rytting	2005		
15367706	Yanase	2004		
15518608	Jacobson	2004		
15616150	Chen	2005		
15618649	Horikawa	2002		
15817714	Lips	2005		
15863325	Takahashi	2005		
15955871	Hirano	2005		
16014768	Shimizu	2005		
16046661	Kopplow	2005		
16084850	Backman	2005		
16095503	Lemahieu	2005		
16198658	Kajosaari	2005		
16210916	Smith	2005		
16263091	Muller	2005		
16272756	Kimura	2005		
16489126	Saito	2006		
16490820	Grube	2006		
16495352	Letschert	2006		
16501004	Nakagomi-Hagihara	2006		
16608919	Tamura	2006		
16611857	Ishiguro	2006		
1662481	Kreel	1991		
16627748	Liu	2006		
16697742	Ho	2006		
16928358	Hirano	2006		
17045309	Baltes	2007		
17192770	Lau	2007		
17220244	Xia	2007		
17296622	Seithel	2007		
17496208	Treiber	2007		
17504223	Xia	2007		
17664327	Tong	2007		
17682070	Mizuno	2007		
17823233	Yamada	2007		
17890094	Muller	2007		
17901929	Hinton	2008		
17965255	Kobayashi	2007		
17977516	Rytting	2008		
17977676	Hirano	2008		
18058507	Kim	2007		
18083034	Muller	2008		
18157518	Nies	2008		
18176327	Kiser	2008		
18314419	Bachmakov	2008		
18321482	Gui	2008		
18397960	Kis	2009		
18408886	Todesco	2008		
18457386	Pedersen	2008		
18490433	Jung	2008		
18520949	Busti	2008		
18559608	Filipski	2008		
18617601	Kitamura	2008		
18654741	Li	2008		
18678495	Pick	2008		
18686197	Umehara	2008		
18707884	Leyers	2008		
18762717	Ohnishi	2008		
18788725	Ahlin	2008		
18790787	Okabe	2008		
18834354	Wang	2008		
18974612	Nakakariya	2008		
18981167	Grigat	2009		
19041296	Pochini	2009		
19076159	Suzuki	2009		
19141712	Minuesa	2009		
19170519	Kuhnle	2009		
19220985	Kano	2009		
19238654	Kalliokoski	2008		
19250834	Klinkhammer	2009		
19357179	Lee	2009		
19402665	Gannon	2009		
19427995	Tiwari	2009		
19437106	Diao	2009		
19493273	Noguchi	2009		
19540211	Tanihara	2009		
19569219	Adkison	2010		
19591196	Nies	2009		
19667285	Pham	2009		
19684012	Tachikawa	2010		
19695392	Deng	2009		
19721074	Hoffmann	2009		
19725578	Wong	2009		
19934028	Werner	2010		
20159988	Pollex	2010		
20220747	Oswald	2010		
20345483	Kawahara	2010		
20360303	Han	2010		
20406852	Leonhardt	2010		
20413454	Whitfield	2011		
20448812	Gui	2010		
20507927	Kis	2010		
20567254	Ahlin	2011		
20574995	Jani	2011		
20599802	Hemauer	2010		
20670210	Yang	2010		
20831193	Diao	2010		
20921968	Tzvetkov	2012		
21189339	Zembruski	2011		
21212936	Wenge	2011		
21217360	Siccardi	2010		
21252289	Minematsu	2011		
21270793	Cho	2011		
21341745	Broccatelli	2011		
21351087	Tang	2012		
21354800	Pick	2011		
21372390	Yamaguchi	2011		
21430235	Konig	2011		
21434975	Allred	2011		
21437911	Yasujima	2011		
21505084	Cutler	2012		
21562485	Tzvetkov	2011		
21570282	Puentes	2011		
21599003	Kido	2011		
21628496	Li	2011		
21641380	Grube	2011		
21719246	Svoboda	2011		
21726197	Pochini	2011		
21779389	Nies	2011		
21861202	Karlgren	2012		
22004608	Wright	2011		
22021325	Visentin	2012		
22072731	Ito	2012		
22112208	Pellicani	2012		
22206629	Pochini	2012		
22300367	Kusuhara	2012		
22355035	Wang	2012		
22389472	Hu	2012		
22419765	Astorga	2012		
22452412	Jabeen	2012		
22534868	Yoshida	2012		
22541068	Karlgren	2012		
22711709	de	2012		
22771883	Nassif	2012		
22775210	Choi	2012		
22822035	Gao	2012		
22847220	Nagasaka	2012		
22902721	Kunze	2012		
22913740	Jouan	2014		
22973893	Duan	2012		
23020787	Jin	2013		
23073734	Ishiguro	2013		
23121773	Klatt	2013		
23132334	Reese	2013		
23241029	Wittwer	2013		
23248200	van	2013		
23284953	Schmidt-Lauber	2012		
23293300	Chu	2013		
23340295	Zimmerman	2013		
23402418	Wei	2013		
23428312	Weiss	2013		
23582785	Sogame	2013		
23652407	Tamraz	2013		
23709117	Belzer	2013		
23729661	Reyner	2013		
23738582	Markert	2014		
23763587	Thevenod	2013		
23770354	Chiba	2013		
23794501	Shirasaka	2013		
23831208	Tu	2013		
23831870	Chen	2013		
23835420	Tzvetkov	2013		
23856525	Mandikova	2013		
23886114	Chiou	2014		
23956101	Morgan	2013		
23967177	Bhullar	2013		
23984907	Hendrickx	2013		
24001450	Li	2013		
24026623	Shen	2013		
24036158	El-Sheikh	2013		
24040847	Dumitras	2013		
24042472	Kurata	2014		
24122511	Kikuchi	2013		
24150606	Meyer	2014		
24184213	Juvale	2013		
24246570	Sun	2014		
24295974	Rizk	2014		
24338900	Huo	2014		
24398510	Hu	2014		
24440960	Takeuchi	2014		
24491572	Macha	2014		
24550332	Custodio	2014		
24617605	Prueksaritanont	2014		
24646860	Lepist	2014		
24688079	Boxberger	2014		
24692216	Wang	2014		
24747579	Maeda	2014		
24754247	Gozalpour	2014		
24807167	Khurana	2014		
24867984	Furihata	2014		
24961373	Chen	2014		
25060604	Cho	2014		
25117183	Johansson	2014		
25155823	Dos	2014		
25165131	Johnston	2014		
25223504	Stage	2015		
25310383	Fu	2014		
25414411	Izumi	2015		
25466967	Bexten	2015		
25477469	Hagos	2015		
25521244	Weiss	2014		
25587128	Lee	2015		
25739790	Ohya	2015		
25855895	Kohler	2015		
25914645	Moss	2015		
26037524	Chapy	2015		
26327616	Hacker	2015		
26330539	Visentin	2015		
26340566	Reese	2016		
26374172	Yin	2015		
2646988	Leibovici	1989		
26659468	Matthaei	2016		
26668209	Vermeer	2016		
26696140	Izumi	2016		
26700956	Elsby	2016		
26702643	Misaka	2016		
26748647	Martin	2016		
26774038	Obreque-Balboa	2016		
26927160	Weiss	2016		
26951201	Shen	2016		
26961540	Oshida	2017		
26974526	Song	2016		
26976869	Parvez	2016		
27178732	Sauzay	2016		
27256812	Stopfer	2016		
27271370	Lechner	2016		
27273004	Yamazaki	2017		
27321165	Ayalasomayajula	2016		
27324234	Li	2016		
27350110	Futatsugi	2016		
27393949	Baiceanu	2016		
27418674	Martinez-Guerrero	2016		
27458210	Gupta	2016		
27503646	Yang	2016		
27504015	Hubeny	2016		
27550354	Parvez	2016		
27645247	Te	2016		
27676604	Chen	2017		
27684210	McCormick	2017		
27737931	Johnson	2017		
28093031	Shams	2018		
28104831	Shen	2017		
28179375	Mathialagan	2017		
28209616	Drenberg	2017		
28223391	Parvez	2017		
