pubmed	author	year	otherText
1352973	Hollt	1992	
24375866	Georgantzopoulou	2014	
27376922	Georgantzopoulou	2016	
27152359	Nicklisch	2016	
20060011	Tsirulnikov	2010	
18433974	Oosterhuis	2008	
18319568	Tachampa	2008	
24389113	Halwachs	2014	
32421406	Gueniche	2020	
21235729	Palmeira	2011	
11242145	van der Sandt	2001	
19643159	Bakhiya	2009	
16479312	Lu	2006	
22580103	Torre	2012	
9347896	Bain	1997	
20015290	Janneh	2010	
17213652	Shitan	2007	
24014645	Dankers	2013	
12498733	Endo	2002	
8917702	Bain	1996	
11113639	Eneroth	2001	
9688051	Doppenschmitt	1998	
11102735	de Lange	2000	
8862725	Tiberghien	1996	
17490606	Sreeramulu	2007	
15710169	Shabbir	2005	
21783720	Pivcevic	2006	
16221533	Lecoeur	2006	
19833843	Ose	2010	
18938236	Li	2009	
23169446	Bircsak	2013	
18006847	Shi	2007	
9473310	Schuetz	1998	
19070657	Sergent	2009	
26995013	Miyata	2016	
10901697	Wandel	2000	
8864518	Huwyler	1996	
11375986	Leslie	2001	
20639259	Yang	2010	
19616083	Yang	2009	
18373647	Nakagawa	2008	
18478216	Zhou	2008	
23435180	Eldasher	2013	
14530907	Fehrenbach	2003	
9563072	Alsenz	1998	
16837925	Anglicheau	2006	
17031644	Pawarode	2007	
17495125	Chen	2007	
15953199	Griffin	2005	
15824923	Barthomeuf	2005	
19833843	Ose	2010	
20060011	Tsirulnokov	2010	
24266811	Brown	2014	
12490595	Tirona	2003	
