Transporter	Substrate	Km	CellSystem	Reference
ABCB1	colchicine	45	MDR1-containing proteoliposomes	1356264
ABCB1	dactinomycin	10	MDR1-containing proteoliposomes	1356264
ABCB1	doxorubicin	3	MDR1-containing proteoliposomes	1356264
SLCO1B3	valsartan	18.2	HEK293-OATP1B3	1662481
SLC15A2	glycylsarcosine	74	HeLa-PEPT2	7495840
SLCO1A2	taurocholate	60	OATP1A2-expressing oocytes	7557095
SLCO1A2	tauroursodeoxycholate	19	OATP1A2-expressing oocytes	7557095
ABCB1	cyclosporine	8.4	MDR1-expressing LLC-PK1 cells	7681059
ABCB1	hydroxyrubicin	2	MDR1-expressing K562 cells	7805856
ABCC1	leukotriene_c4	0.097	MRP1-expressing HeLa vesicles	7961706
ABCB1	vinblastine	18.99	MDR1-expressing Caco-2 cells	8100632
ABCB1	vinblastine	19	Caco-2	8100817
SLC15A1	bestatin	340	Caco-2	8396335
ABCC1	estradiol-17beta-glucuronide	2.5	MRP1-expressing HeLa vesicles	8621644
ABCB1	dolastatin-10	0.9	MDR1-containing proteoliposomes	8621716
ABCB1	emetine	6	MDR1-containing proteoliposomes	8621716
ABCB1	losartan	100	MDR1-containing proteoliposomes	8621716
ABCB1	progesterone	30	MDR1-containing proteoliposomes	8621716
ABCB1	quinine	10	MDR1-containing proteoliposomes	8621716
ABCB1	valinomycin	1	MDR1-containing proteoliposomes	8621716
ABCB1	verapamil	2	MDR1-containing proteoliposomes	8621716
ABCB1	vinblastine	0.8	MDR1-containing proteoliposomes	8621716
ABCC1	estradiol-17beta-glucuronide	1.5	MRP1-expressing HeLa vesicles	8640791
ABCC1	s-(2_4-dinitrophenyl)-glutathione	3.6	MRP1-expressing HeLa vesicles	8640791
ABCB1	cyclosporine	3.8	MDR1-expressing Caco-2 cells	8842452
SLCO1A2	ouabain	5.5	OATP1A2-expressing oocytes	8938553
SLC22A1	1-methyl-4-phenylpyridinium-(mpp)	14.6	OCT1-expressing oocytes	9187257
ABCC1	aflatoxin-b1-glutathione	0.189	MRP1-expressing HeLa vesicles	9187270
SLC22A2	n-methylpyridinium	19	OCT2-expressing oocytes	9260930
SLC22A2	tetraethylammonium	76	OCT2-expressing oocytes	9260930
ABCB1	levofloxacin	3000	MDR1-expressing LLC-PK1 cells	9262363
ABCB1	prazosin	20	MDR1-expressing insect vesicles	9380680
SLC10A2	cholate	33.3	COS1-ASBT	9458785
SLC10A2	glycochenodeoxycholate	5.7	COS1-ASBT	9458785
SLC10A2	glycodeoxycholate	2	COS1-ASBT	9458785
