Transporter	Substrate	Km	CellSystem	Reference
ABCB1	berberine	>300	Caco-2	12434406
ABCB1	biotin	13	MDCK-MDR1	16749865
ABCB1	colchicine	1640	Caco-2	12948018
ABCB1	dexamethasone	826	ATPase assay of Sf9-MDR1 liposomes	17029589
ABCB1	digoxin	73	Caco-2	15180340
ABCB1	digoxin	177	Caco-2	12948018
ABCB1	digoxin	181	ATPase assay of Sf9-MDR1 liposomes	17029589
ABCB1	doxorubicin	ND	MDR1 transfected LLC-PK1	19123050
ABCB1	etoposide	255	MDCK II-MDR1	11901101
ABCB1	etoposide	461	Caco-2	12948018
ABCB1	fexofenadine	150	Caco-2	15359574
ABCB1	indinavir	0.47	ATPase assay of High Five-MDR1 membranes	9530286
ABCB1	irinotecan	45.5	MDCK II-MDR1	12065434
ABCB1	irinotecan	116.1	Caco-2	12065434
ABCB1	loperamide	11.4	Sf9-MDR1 ATPase assay	17962372
ABCB1	nicardipine	2.6	ATPase assay of Sf9-MDR1 liposomes	17029589
ABCB1	paclitaxel	1.4	ATPase assay of Sf9-MDR1 liposomes	17029589
ABCB1	paclitaxel	65.0	Caco-2	15180340
ABCB1	rhodamine-123	21	ATPase assay of Sf9-MDR1 liposomes	17029589
ABCB1	ritonavir	0.8	MDR1 transfected LLC-PK1	16184031
ABCB1	saquinavir	14.5	MDR1 transfected LLC-PK1	16184031
ABCB1	saquinavir	15.4	Caco-2	15180340
ABCB1	topotecan	78.3	Caco-2	18654741
ABCB1	topotecan	102	MDCK II-MDR1	18654741
ABCB1	valinomycin	2.5	ATPase assay of Sf9-MDR1 liposomes	17029589
ABCB1	verapamil	4.1	ATPase assay of Sf9-MDR1 liposomes	17029589
ABCB1	vinblastine	1.7	ATPase assay of Sf9-MDR1 liposomes	17029589
ABCB1	vinblastine	19.0	Caco-2	8100817
ABCB1	vinblastine	89.2	Caco-2	12134945
ABCB1	vinblastine	146	MDR1-expressing oocytes	19631272
ABCB1	vinblastine	253	MDCK-MDR1	12134945
ABCB1	vincristine	3.7	ATPase assay of Sf9-MDR1 liposomes	17029589
ABCB11	glycochenodeoxycholate	1.70	Sf9-BSEP	19520776
ABCB11	glycocholate	35.5	Sf9-BSEP	19520776
