Transporter	Inhibitor	IC50 (uM)	KI (uM)	Substrate used	Cell system	References	OtherLink
SLC22A3	Telmisartan	12		"	4-(4-dimethylamino)styryl-N-methylpyridinium (ASP+)"	HEK293-OCT3	35089508	
SLC22A3	Amiloride	14.5		"	4-(4-dimethylamino)styryl-N-methylpyridinium (ASP+)"	HEK293-OCT3	35089508	
SLC22A3	Guanabenz	3.2		"	4-(4-dimethylamino)styryl-N-methylpyridinium (ASP+)"	HEK293-OCT3	35089508	
SLC22A3	Papaverine	4.1		"	4-(4-dimethylamino)styryl-N-methylpyridinium (ASP+)"	HEK293-OCT3	35089508	
SLC22A3	Trazadone	5.2		"	4-(4-dimethylamino)styryl-N-methylpyridinium (ASP+)"	HEK293-OCT3	35089508	
SLC22A3	Chlorhexidine	3.7		"	4-(4-dimethylamino)styryl-N-methylpyridinium (ASP+)"	HEK293-OCT3	35089508	
SLC22A3	Telmisartan	3.9		Metformin	HEK293-OCT3	35089508	
SLC22A3	Amiloride	3		Metformin	HEK293-OCT3	35089508	
SLC22A3	Guanabenz	1.1		Metformin	HEK293-OCT3	35089508	
SLC22A3	Papaverine	1.2		Metformin	HEK293-OCT3	35089508	
SLC22A3	Trazadone	2.5		Metformin	HEK293-OCT3	35089508	
SLC22A3	Chlorhexidine	0.4		Metformin	HEK293-OCT3	35089508	
ABCG2	FD&C Red No. 3	0.56		cholecystokinin octapeptide	BCRP membrane vesicles 	31990564	
ABCG2	Light green CF yellowish	1		cholecystokinin octapeptide	BCRP membrane vesicles 	31990564	
ABCG2	D&C Red No. 28	1.04		cholecystokinin octapeptide	BCRP membrane vesicles 	31990564	
ABCG2	FD&C Blue No. 1	1.97		cholecystokinin octapeptide	BCRP membrane vesicles 	31990564	
ABCG2	Ponceau xylidine	2.12		cholecystokinin octapeptide	BCRP membrane vesicles 	31990564	
ABCG2	D&C Red No. 27	2.35		cholecystokinin octapeptide	BCRP membrane vesicles 	31990564	
ABCG2	D&C Green No. 5	2.47		cholecystokinin octapeptide	BCRP membrane vesicles 	31990564	
ABCG2	D&C Red No. 4	2.47		cholecystokinin octapeptide	BCRP membrane vesicles 	31990564	
ABCG2	Amaranth dye	2.72		cholecystokinin octapeptide	BCRP membrane vesicles 	31990564	
ABCG2	Guinea green b	2.99		cholecystokinin octapeptide	BCRP membrane vesicles 	31990564	
ABCG2	Naphthol blue black	4.34		cholecystokinin octapeptide	BCRP membrane vesicles 	31990564	
ABCG2	FD&C Red No. 40	4.42		cholecystokinin octapeptide	BCRP membrane vesicles 	31990564	
ABCG2	D&C Orange No. 4	4.77		cholecystokinin octapeptide	BCRP membrane vesicles 	31990564	
ABCG2	FD&C Yellow No. 5	5.61		cholecystokinin octapeptide	BCRP membrane vesicles 	31990564	
ABCG2	Ponceau 3R	7.12		cholecystokinin octapeptide	BCRP membrane vesicles 	31990564	
ABCG2	Rhodamine B	7.78		cholecystokinin octapeptide	BCRP membrane vesicles 	31990564	
ABCG2	D&C Brown No. 1	12		cholecystokinin octapeptide	BCRP membrane vesicles 	31990564	
ABCG2	D&C Red No. 6	12.3		cholecystokinin octapeptide	BCRP membrane vesicles 	31990564	
