Transporter	InteractingDrug	AffectedDrug	AUC	Cmax	CLr	CL/F	T1/2	EffectOnPD	Reference
ABCG2,SLCO1A2,SLCO1B1,SLCO1B3,SLCO2B1	atazanavir,ritonavir	rosuvastatin	3.1	7.0	ND	ND	ND	ND	18520949
ABCB1,ABCG2	elacridar-(gf120918)	topotecan	2.4	2.8	ND	ND	NS	ND	12089223
ABCG2,SLCO1A2,SLCO1B1,SLCO1B3,SLCO2B1	cyclosporine	rosuvastatin	5.0	10.6	ND	ND	ND	ND	15289793
ABCG2,SLCO1A2,SLCO1B1,SLCO1B3,SLCO2B1	cyclosporine	rosuvastatin	6.4	18.2	ND	ND	ND	ND	15289793
SLCO1A2,SLCO1B1,SLCO1B3,SLCO2B1	lopinavir,ritonavir	rosuvastatin	2.1	4.7	ND	0.5	NS	yes	18176327
SLCO1A2,SLCO1B1,SLCO1B3,SLCO2B1	rifampicin	glyburide	2.2	1.8	NS	0.5	ND	yes	18843263
SLC22A6,SLC22A7,SLC22A8,SLC22A11	probenecid	cefaclor	2.1	1.5	ND	ND	1.6	ND	508557
SLC22A6,SLC22A7,SLC22A8,SLC22A11	probenecid	cephradine	2.4	1.9	ND	ND	1.5	ND	508557
SLC22A6,SLC22A7,SLC22A8,SLC22A11	probenecid	famotidine	1.8	1.5	0.4	0.1	NS	ND	2303581
ABCC1,ABCC2,ABCC3,ABCC4,ABCC5,ABCC6	probenecid	cefmetazole	1.6	NS	0.6	0.6	1.5	ND	2729930
SLC22A6,SLC22A7,SLC22A8,SLC22A11	probenecid	ceftriaxone	0.7	ND	ND	1.3	0.8	ND	3383987
SLC22A6,SLC22A7,SLC22A8,SLC22A11	probenecid	acyclovir	1.4	ND	0.7	NS	ND	ND	7103460
SLC22A6,SLC22A7,SLC22A8,SLC22A11	probenecid	cefonicid	2.1	1.2	0.3	ND	1.5	ND	7297018
SLC22A6,SLC22A7,SLC22A8,SLC22A11	probenecid	cefoxitin	2.4	ND	0.4	ND	2.0	ND	7396472
SLC22A6,SLC22A7,SLC22A8,SLC22A11	probenecid	cidofovir	ND	ND	0.5	0.6	ND	ND	7574510
SLC22A6,SLC22A7,SLC22A8,SLC22A11,ABCC1,ABCC2,ABCC3,ABCC4,ABCC5,ABCC6	probenecid	ciprofloxacin	1.7	NS	0.4	0.6	1.5	ND	7586947
SLC22A6,SLC22A7,SLC22A8,SLC22A11,ABCC1,ABCC2,ABCC3,ABCC4,ABCC5,ABCC6	probenecid	furosemide	2.7	1.5	0.3	0.4	1.7	ND	7654491
SLC22A6,SLC22A7,SLC22A8,SLC22A11	furosemide	lomefloxacin	1.1	NS	0.7	0.9	NS	ND	8070509
SLC22A6,SLC22A7,SLC22A8,SLC22A11	probenecid	dicloxacillin	1.9	1.8	0.3	0.5	ND	ND	18576903
SLC22A6,SLC22A7,SLC22A8,SLC22A11,SLC22A1,SLC22A2,SLC22A3	cotrimoxazole-(trimethoprim-sulfamethoxazole)	zidovudine	NS	ND	0.4	NS	NS	ND	1493087
SLC22A1,SLC22A2,SLC22A3	trimethoprim	zidovudine	NS	ND	0.5	NS	NS	ND	1493087
SLC22A1,SLC22A2,SLC22A3,SLC47A1,SLC47A2	cimetidine	pindolol-(s-enantiomer)	1.4	1.3	0.7	ND	NS	ND	1563208
SLC22A1,SLC22A2,SLC22A3,SLC47A1,SLC47A2	cimetidine	metformin	1.5	1.7	0.7	ND	ND	ND	3593625
SLC22A1,SLC22A2,SLC22A3,SLC47A1,SLC47A2	cimetidine	cephalexin	NS	NS	0.8	0.8	NS	ND	3944769
SLC22A1,SLC22A2,SLC22A3,SLC47A1,SLC47A2	cimetidine	ranitidine	1.3	NS	0.7	ND	1.3	ND	3944769
SLC22A1,SLC22A2,SLC22A3,SLC47A1,SLC47A2	cimetidine	procainamide	1.4	NS	0.6	ND	1.3	ND	6194997
SLC22A1,SLC22A2,SLC22A3,SLC47A1,SLC47A2	cimetidine	pilsicainide	1.3	NS	0.7	0.7	1.2	ND	10741624
SLC22A1,SLC22A2,SLC22A3,SLC47A1,SLC47A2	cetirizine	pilsicainide	1.4	NS	ND	ND	ND	ND	16580907
SLC22A1,SLC22A2,SLC22A3,SLC47A1,SLC47A2	cimetidine	varenicline	1.3	ND	0.8	0.8	ND	ND	17971819
SLC22A1,SLC22A2,SLC22A3,SLC22A6,SLC22A7,SLC22A8,SLC22A11	cotrimoxazole-(trimethoprim-sulfamethoxazole)	apricitabine	1.7	1.3	0.6	0.6	1.4	ND	18211616
SLC22A1,SLC22A2,SLC22A3,SLC47A1,SLC47A2	cimetidine	dofetilide	1.5	1.3	0.7	0.7	1.3	yes	10606839
