Transporter	Inhibitor	Ki	IC50	CellSystem	Substrate	Reference
ABCB1	amiodarone		22.5	MDR1 transfected LLC-PK1	daunorubicin	11231118
ABCB1	amiodarone		5.48	MDR1 transfected LLC-PK1	digoxin	12499648
ABCB1	amiodarone		45.6	MDR1 transfected LLC-PK1	digoxin	11231118
ABCB1	azelastine		16	MDR1 transfected LLC-PK1	daunorubicin	11231118
ABCB1	azelastine		30	MDR1 transfected LLC-PK1	digoxin	11231118
ABCB1	cyclosporine		1.36	MDCK II-MDR1	colchicine	16455806
ABCB1	cyclosporine		1.6	MDCK II-MDR1	digoxin	16455806
ABCB1	cyclosporine	0.46		Caco-2	digoxin	12134945
ABCB1	cyclosporine	2.18		MDCK-MDR1	digoxin	12134945
ABCB1	cyclosporine		1.4	MDR1 transfected NIH3T3-G185	rhodamine-123	11606389
ABCB1	cyclosporine		6.18	MDCK II-MDR1	vinblastine	16455806
ABCB1	desethylamiodarone		15.4	MDR1 transfected LLC-PK1	daunorubicin	11231118
ABCB1	desethylamiodarone		1.27	MDR1 transfected LLC-PK1	digoxin	12499648
ABCB1	desethylamiodarone		25.2	MDR1 transfected LLC-PK1	digoxin	11231118
ABCB1	desmethylazelastine		11.8	MDR1 transfected LLC-PK1	daunorubicin	12499648
ABCB1	desmethylazelastine		41.8	MDR1 transfected LLC-PK1	digoxin	11231118
ABCB1	dipyridamole		40	MDR1 transfected LLC-PK1	digoxin	12499648
ABCB1	elacridar-(gf120918)		0.027	MDCK II-MDR1	colchicine	16455806
ABCB1	elacridar-(gf120918)		0.055	MDCK II-MDR1	digoxin	16455806
ABCB1	elacridar-(gf120918)	0.39		Caco-2	digoxin	12134945
ABCB1	elacridar-(gf120918)	0.44		MDCK-MDR1	digoxin	12134945
ABCB1	elacridar-(gf120918)		0.043	MDCK II-MDR1	vinblastine	16455806
ABCB1	erlotinib		2	MDR1-expressing K562 vesicles	vincristine	19493273
ABCB1	ketoconazole		5.49	MDCK II-MDR1	colchicine	16455806
ABCB1	ketoconazole		3.07	MDCK II-MDR1	digoxin	16455806
ABCB1	ketoconazole		5.6	MDR1 transfected NIH3T3-G185	rhodamine-123	11606389
ABCB1	ketoconazole		6.34	MDCK II-MDR1	vinblastine	16455806
ABCB1	paclitaxel		54	MDR1 transfected NIH3T3-G185	rhodamine-123	11606389
ABCB1	quinidine		51.7	MDCK II-MDR1	colchicine	16455806
ABCB1	quinidine		9.52	MDR1 transfected LLC-PK1	digoxin	12499648
ABCB1	quinidine		14.9	MDCK II-MDR1	digoxin	16455806
ABCB1	quinidine	3.23		Caco-2	digoxin	12134945
ABCB1	quinidine	8.59		MDCK-MDR1	digoxin	12134945
ABCB1	quinidine		22.9	MDCK II-MDR1	vinblastine	16455806
ABCB1	reserpine	1.38		Caco-2	digoxin	12134945
ABCB1	reserpine	11.5		MDCK-MDR1	digoxin	12134945
ABCB1	tamoxifen		7.1	MDR1 transfected NIH3T3-G185	rhodamine-123	11606389
ABCB1	verapamil		17.3	MDCK II-MDR1	colchicine	16455806
ABCB1	verapamil		10.7	MDCK II-MDR1	digoxin	16455806
ABCB1	verapamil	8.11		Caco-2	digoxin	12134945
ABCB1	verapamil	15.1		MDCK-MDR1	digoxin	12134945
ABCB1	verapamil		8.44	Caco-2	fexofenadine	15359574
ABCB1	verapamil	29.0		MDCK II-MDR1	irinotecan	12065434
ABCB1	verapamil		4.2	MDR1 transfected NIH3T3-G185	rhodamine-123	11606389
ABCB1	verapamil		33.5	MDCK II-MDR1	vinblastine	16455806
ABCB1	verapamil		0.2	MDR1-expressing K562 vesicles	vincristine	19493273
ABCB1	vinblastine		30.1	MDCK II-MDR1	colchicine	16455806
ABCB1	vinblastine		17.8	MDCK II-MDR1	digoxin	16455806
ABCB1	vinblastine		18	MDR1 transfected NIH3T3-G185	rhodamine-123	11606389
ABCB1	vinblastine		89.7	MDCK II-MDR1	vinblastine	16455806
ABCB11	atorvastatin	9.12		BSEP-expressing HEK293 vesicles	taurocholate	15901796
ABCB11	cerivastatin	11.4		BSEP-expressing HEK293 vesicles	taurocholate	15901796
ABCB11	clofazimine		2.3	BSEP-expressing Sf9 vesicles	taurocholate	19520776
ABCB11	cyclosporine		0.93	BSEP-expressing Sf9 vesicles	glycocholate	19520776
ABCB11	cyclosporine		0.94	BSEP-expressing Sf9 vesicles	taurochenodeoxycholate	19520776
ABCB11	cyclosporine		8.4	BSEP-expressing Sf9 vesicles	taurocholate	19520776
ABCB11	cyclosporine		18.9	BSEP-expressing Sf9 vesicles	taurocholate	19520776
ABCB11	glyburide		18.8	BSEP-expressing Sf9 vesicles	glycocholate	19520776
ABCB11	glyburide		15.8	BSEP-expressing Sf9 vesicles	taurochenodeoxycholate	19520776
ABCB11	glyburide		11.3	BSEP-expressing Sf9 vesicles	taurocholate	19520776
ABCB11	glyburide		14.7	BSEP-expressing Sf9 vesicles	taurocholate	19520776
ABCB11	reserpine		2.8	Sf9-BSEP	taurocholate	19520776
ABCB11	rifampicin		10.5	BSEP-expressing Sf9 vesicles	taurocholate	19520776
ABCB11	troglitazone		16.0	BSEP-expressing Sf9 vesicles	glycocholate	19520776
ABCB11	troglitazone		27.6	BSEP-expressing Sf9 vesicles	taurochenodeoxycholate	19520776
ABCB11	troglitazone		9.5	BSEP-expressing Sf9 vesicles	taurocholate	19520776
ABCB11	valinomycin		0.7	BSEP-expressing Sf9 vesicles	taurocholate	19520776
ABCC1	17beta-estradiol-3-sulfate	0.38		MRP1-expressing HeLa vesicles	leukotriene-c4	11102445
ABCC1	curcumin		15	MRP1-expressing Sf9 vesicles	ethacrynic-acid-glutathione	14680379
ABCC1	cyclosporine		5	MRP1-expressing HeLa vesicles	leukotriene-c4	7961706
ABCC1	estrone-3-sulfate	0.45		MRP1-expressing HeLa vesicles	leukotriene-c4	11102445
ABCC1	genistein		80	human erythrocytes	2__7_-bis-(3-carboxy-propyl)-5-(and-6)-carboxyfluorescein-(bcpcf)	15916776
ABCC1	indomethacin		7	human erythrocytes	2__7_-bis-(3-carboxy-propyl)-5-(and-6)-carboxyfluorescein-(bcpcf)	15916776
ABCC1	kaempferol	2.4		MRP1-expressing HeLa vesicles	leukotriene-c4	11306701
ABCC1	mk-571		3.5	human erythrocytes	2__7_-bis-(3-carboxy-propyl)-5-(and-6)-carboxyfluorescein-(bcpcf)	15916776
ABCC1	mk-571		5	MDCK II-MRP1	calcein-am	14680379
ABCC1	mk-571	134.7		2008/P-MRP1	doxorubicin	19725578
ABCC1	mk-571		0.6	MRP1-expressing HeLa vesicles	leukotriene-c4	7961706
ABCC1	myricetin	13.3		MRP1-expressing HeLa vesicles	leukotriene-c4	11306701
ABCC1	quercetin	8.1		MRP1-expressing HeLa vesicles	leukotriene-c4	11306701
ABCC1	valsopodar-(psc-833)		27	MRP1-expressing HeLa vesicles	leukotriene-c4	7961706
ABCC1	verapamil	13.2		2008/P-MRP1	doxorubicin	19725578
ABCC2	curcumin		5	MRP2-expressing Sf9 vesicles	ethacrynic-acid-glutathione	14680379
ABCC2	cyclosporine		10	MDCK II-MRP2	calcein-am	14680379
ABCC2	cyclosporine	4.7		MRP2-expressing LLC-PK1 vesicles	leukotriene-c4	10570049
ABCC2	cyclosporine	8.11		MDCK II-MRP2	vinblastine	12134946
ABCC2	daunorubicin	49.4		MDCK II-MRP2	vinblastine	12134946
ABCC2	etoposide	756		MDCK II-MRP2	vinblastine	12134946
ABCC2	indomethacin		0.06	MRP2-expressing HEK293 vesicles	methotrexate	17005917
ABCC2	ketoprofen		1.4	MRP2-expressing HEK293 vesicles	methotrexate	17005917
ABCC2	mk-571		4	MRP2-expressing Sf9 vesicles	ethacrynic-acid-glutathione	16316932
ABCC2	mk-571		50.0	Caco-2	irinotecan	12065434
ABCC2	mk-571	13.1		MRP2-expressing LLC-PK1 vesicles	leukotriene-c4	10570049
ABCC2	mk-571	26.4		MDCK II-MRP2	vinblastine	12134946
ABCC2	pak-104p	3.7		MRP2-expressing LLC-PK1 vesicles	leukotriene-c4	10570049
ABCC2	reserpine	295		MDCK II-MRP2	vinblastine	12134946
ABCC2	valsopodar-(psc-833)	28.9		MRP2-expressing LLC-PK1 vesicles	leukotriene-c4	10570049
ABCC2	vincristine	802		MDCK II-MRP2	vinblastine	12134946
ABCC3	taurocholate		40	MRP3-expressing HEK293 vesicles	estradiol-17beta-glucuronide	12924948
ABCC4	benzbromarone		150	MRP4-expressing HEK293 vesicles	9-(2-phosphonomethoxyethyl)adenine-(pmea)	12695538
ABCC4	candesartan		16	MRP4-expressing Sf9 vesicles	uric-acid	17674156
ABCC4	celecoxib		35	MRP4-expressing HEK293 vesicles	methotrexate	17005917
ABCC4	diclofenac		0.006	MRP4-expressing HEK293 vesicles	methotrexate	17005917
ABCC4	dilazep		20	MRP4-expressing HEK293 vesicles	9-(2-phosphonomethoxyethyl)adenine-(pmea)	12695538
ABCC4	dipyridamole		2	MRP4-expressing HEK293 vesicles	9-(2-phosphonomethoxyethyl)adenine-(pmea)	12695538
ABCC4	dipyridamole		<20	MRP4-expressing V79 vesicles	cholyltaurine	12883481
ABCC4	indomethacin		6.1	MRP4-expressing HEK293 vesicles	methotrexate	17005917
ABCC4	ketoprofen		11.9	MRP4-expressing HEK293 vesicles	methotrexate	17005917
ABCC4	losartan		1.5	MRP4-expressing Sf9 vesicles	uric-acid	17674156
ABCC4	mk-571		10	MRP4-expressing HEK293 vesicles	9-(2-phosphonomethoxyethyl)adenine-(pmea)	12695538
ABCC4	mk-571		~2	MRP4-expressing V79 vesicles	cholyltaurine	12883481
ABCC4	nitrobenzylmercaptopurine-riboside		75	MRP4-expressing HEK293 vesicles	9-(2-phosphonomethoxyethyl)adenine-(pmea)	12695538
ABCC4	probenecid		2300	MRP4-expressing HEK293 vesicles	9-(2-phosphonomethoxyethyl)adenine-(pmea)	12695538
ABCC4	probenecid		~100	MRP4-expressing V79 vesicles	cholyltaurine	12883481
ABCC4	probenecid		<100	MRP4-expressing Sf9 vesicles	cyclic-gmp	11856762
ABCC4	sildenafil		20	MRP4-expressing HEK293 vesicles	9-(2-phosphonomethoxyethyl)adenine-(pmea)	12695538
ABCC4	sulfinpyrazone		420	MRP4-expressing HEK293 vesicles	9-(2-phosphonomethoxyethyl)adenine-(pmea)	12695538
ABCC4	sulindac		2.11	MRP4-expressing HEK293 vesicles	methotrexate	17005917
ABCC4	telmisartan		11	MRP4-expressing Sf9 vesicles	uric-acid	17674156
ABCC4	trequinsin		10	MRP4-expressing HEK293 vesicles	9-(2-phosphonomethoxyethyl)adenine-(pmea)	12695538
ABCC4	zaprinast		250	MRP4-expressing HEK293 vesicles	9-(2-phosphonomethoxyethyl)adenine-(pmea)	12695538
ABCC5	5-nitro-2-(3-phenylpropylamino)-benzoic-acid-(nppb)		2	MRP5-expressing HEK293 vesicles	5-fluorodeoxyuridine-monophosphate	15897250
ABCC5	5-nitro-2-(3-phenylpropylamino)-benzoic-acid-(nppb)		0.102	MRP5-expressing HEK293 vesicles	carboxydichlorofluorescein	16337112
ABCC5	5-fluorodeoxyuridine-monophosphate	1163		MRP5-expressing HEK293 vesicles	carboxydichlorofluorescein	16337112
ABCC5	benzbromarone		150	MRP4-expressing HEK293 vesicles	9-(2-phosphonomethoxyethyl)adenine-(pmea)	12695538
ABCC5	cyclic-gmp		960	MRP5-expressing HEK293 vesicles	5-fluorodeoxyuridine-monophosphate	15897250
ABCC5	cyclic-gmp		4855.5	MRP5-expressing HEK293 vesicles	carboxydichlorofluorescein	16337112
ABCC5	dipyridamole		30	MRP4-expressing HEK293 vesicles	9-(2-phosphonomethoxyethyl)adenine-(pmea)	12695538
ABCC5	glyburide		15	MRP5-expressing HEK293 vesicles	5-fluorodeoxyuridine-monophosphate	15897250
ABCC5	methotrexate		780	MRP5-expressing HEK293 vesicles	5-fluorodeoxyuridine-monophosphate	15897250
ABCC5	methotrexate	1059		MRP5-expressing HEK293 vesicles	carboxydichlorofluorescein	16337112
ABCC5	mk-571		17	MRP5-expressing HEK293 vesicles	5-fluorodeoxyuridine-monophosphate	15897250
ABCC5	mk-571		200	MRP4-expressing HEK293 vesicles	9-(2-phosphonomethoxyethyl)adenine-(pmea)	12695538
ABCC5	mk-571		15.9	MRP5-expressing HEK293 vesicles	carboxydichlorofluorescein	16337112
ABCC5	pemetrexed		2110	MRP5-expressing HEK293 vesicles	5-fluorodeoxyuridine-monophosphate	15897250
ABCC5	pemetrexed		442	MRP5-expressing HEK293 vesicles	carboxydichlorofluorescein	16337112
ABCC5	pemetrexed	300		MRP5-expressing HEK293 vesicles	carboxydichlorofluorescein	16337112
ABCC5	probenecid		70	MRP5-expressing HEK293 vesicles	5-fluorodeoxyuridine-monophosphate	15897250
ABCC5	probenecid		200	MRP4-expressing HEK293 vesicles	9-(2-phosphonomethoxyethyl)adenine-(pmea)	12695538
ABCC5	probenecid		34	MRP5-expressing HEK293 vesicles	carboxydichlorofluorescein	16337112
ABCC5	sildenafil		580	MRP5-expressing HEK293 vesicles	5-fluorodeoxyuridine-monophosphate	15897250
ABCC5	sildenafil		80	MRP4-expressing HEK293 vesicles	9-(2-phosphonomethoxyethyl)adenine-(pmea)	12695538
ABCC5	sildenafil	0.267		MRP5-expressing V79 vesicles	cyclic-gmp	10893247
ABCC5	sulfinpyrazone		300	MRP4-expressing HEK293 vesicles	9-(2-phosphonomethoxyethyl)adenine-(pmea)	12695538
ABCC5	sulfinpyrazone		103.2	MRP5-expressing HEK293 vesicles	carboxydichlorofluorescein	16337112
ABCC5	trequinsin		580	MRP5-expressing HEK293 vesicles	5-fluorodeoxyuridine-monophosphate	15897250
ABCC5	trequinsin		30	MRP4-expressing HEK293 vesicles	9-(2-phosphonomethoxyethyl)adenine-(pmea)	12695538
ABCC5	trequinsin		218	MRP5-expressing HEK293 vesicles	carboxydichlorofluorescein	16337112
ABCC5	trequinsin	0.24		MRP5-expressing V79 vesicles	cyclic-gmp	10893247
ABCC5	zaprinast		20	MRP5-expressing HEK293 vesicles	5-fluorodeoxyuridine-monophosphate	15897250
